a little	kadikit
slip	nadalinas
slope	bakilid
slot	ruwang
slow	maluway
slowly	luhay luhay
small	sadit
smart	matali
smell	parong
smile	magngirit
smile	ngirit
smoke	aso
smooth	makinis
snack	merindal
snail	kuhol
snake	halas
snap	biglaan
snow	niyebe
so	kaya
so far	sagkod ngonyan
soak	palbag
soap	sabon
sober	bakong burat
social	sosyal
society	sosyodad
socks	medyas
soft	malumoy
soil	daga
sold	ipinabakal
sold out	ubos na
soldier	soldados
sole	solo
solid	solido
solution	solusyon
solve	masolusyunan
some	pira
somebody	sarong tawo
somehow	maski papano
someone	sarong tawo
something	ibang bagay
sometimes	minsan
song	kanta
soon	harani na
sophisticated	sopistikada
sore	makulog
sore	lugad
sore throat	makulog na halunan
sorrow	kamunduan
Sorry	Pasensya na
sort	klase
sought	hinanap
soul	kalag
sound	tanog
soup	sabaw
sour	maalsom
source	pinaghalean
south	timog
space	espasyo
span	lawig
Spanish	Espanyol
spare	pansalida
spare	iligtas
speak	taram
special	espesyal
specific	espisipiko
spectacular	makangangalas
speech	pagtaram
speechless	mayong masabi
speed	liksi
spend	maggastos
spent	naggastos
spicy	maharang
spike	ispaik
spin	talibong
spinach	kangkong
spirit	ispirito
spit	lutab
splendid	kahanga-hanga
split	pagbanga
split	bangaon
spoil	raot
spoiled	panos na
spontaneous	kusa
spoon	kutsara
spot	lugar
spouse	agom
spread	ikalat
spring	burabod
spring	biglang hiro
square	kwadrado
squeeze	paga
squid	pusit
stab	saksak
stable	matatag
stack	pagpatung-patungon
stage	entablado
stain	mantsa
stairs	hagdan
stake	taya
stalk	pagsubaybay na pasekreto
stall	puwesto
stamp	pantatak
stamp	selyo
stand	tindog
stand	itindog
standard	standard
star	bituon
start	puon
started	nagpuon
starving	nagugutom
state	sabihon
state	estado
statement	pahayag
station	istasyon
statue	estatwa
status	estado
stay	pag-istar
stay	mag-istar
stay safe	padagos kang mag-ingat
steady	danay
steal	habas
steam	sangaw
steel	bakal
steep	matarik
stem	sanga
step	lakdang
stick	dukot
stiff	matagas
still	daing hiro-hiro
still	pa man
sting	kagat
stingy	kuripot
stir	kalikuton
stock	paninda
stolen	hinabas
stomach	tulak
stone	gapo
stood	nagtindog
stool	udo
stop	magpundo
storage	sarayan
store	itago
store	tindahan
storm	bagyo
story	estorya
stove	lutuan
straight	tulid
straightforward	prangka
strain	pagalon
strange	kakaiba
stranger	estranghero
strategy	estratehiya
straw	dagami
streak	kurit
stream	magdalan nin bidyo sa internet
stream	sapa
street	kalye
strength	kusog
stretch	inat
strict	istrikto
strike	pakulon
strike	welga
string	lubid
strip	haleon
strive	pagsisikap
strong	makusog
struck	pinatamaan
structure	istraktura
struggle	kasakitan
struggle	magpakasakit
struggling	nadidipisilan
stubborn	matagas an payo
stuck	napundo
student	estudyante
study	pag-aadal
study	mag-adal
studying	nag-aadal
stuff	mga bagay
stunning	sobrang gayon
stupid	mangmang
style	istilo
subject	tema
submission	pagsusumiter
submit	isumiter
substance	substansiya
substitute	kasalida
subtle	banayad
succeed	kapangganahan
success	kapangganahan
successful	mapanggana
such	arog kan
such as	siring kan
suck	supsop
sudden	bigla
suddenly	bigla
suffer	magdusa
suffering	pagsakit
sufficient	supesyente
sugar	asukar
suggest	magsuhestiyon
suggestion	suhestiyon
suit	ibagay
suit	kaso
suitable	angay
suitcase	bagahe
sum	total
summary	sumaryo
summer	tag-init
summit	tuktok
sun	saldang
sunday	domingo
sunny	maaldaw
sunset	pagsolnop kan saldang
sunshine	sirang nin aldaw
superior	pinakang
supervisor	supervisor
supper	pamanggihan
supply	suportaran
supply	panuporta
support	nagsusuporta
support	suporta
suppose	ipamugtak
supposed	dapat
sure	sige
surface	ibabaw
surge	daluyong
surgery	pag-oopera
surname	apelyedo
surprise	surpresa
surprised	nasorpresa
surrender	suko
surrounding	kapalibutan
survive	magdanay
suspect	suspetsado
suspect	pagduda
suspended	suspendido
suspicious	kadudaduda
sustain	sustenir
sustainability	kakayahan na magsustenir
sustainable	nasususteneran
swallow	halon
swap	ribay
swear	sumpa
sweat	daplos
sweep	sigid
sweet	mahamis
sweet tooth	mahilig sa hamis
swell	nagdakula
swelling	namamaga
swim	langoy
swimming	naglalangoy
swing	iduyan
swing	duyan
switch	magbalyo
switch	pindutan
swollen	hubag
sword	espada
symbol	simbolo
sympathy	simpatiya
symptoms	sintomas
system	sistema
table	lamesa
tackle	talakay
tag	pananda
tail	ikog
take	kua
take away	nakua
take care	mag-ingat ka
take off	haleon
taken	kinua na
talk	olay
talk	makipag-olay
talkative	madaldal
tall	halangkaw
tap	tapikin
tap	tapik
tape	teyp
target	patamaan
target	target
task	gibuhon
taste	namitan
taste	namit
tasty	manamit
taught	tinukduan
tea	tsaa
teach	tukdo
teacher	paratokdo
tear	luha
tears	mga luha
tease	suba
technology	teknolohiya
teeth	ngipon
tell	sabihon
tell me	sabihon sako
temper	init nin payo
temperature	temperatura
temple	templo
temporary	temporaryo
ten	dyes
ten thousand	dyesmil
tenant	nag-aarkila
tend	inataman
tendency	tendensiya
tender	mayumok
tense	nananagas
tension	tensiyon
tent	tolda
tentative	pansamantala
term	tataramon
term	peryudo nin panahon
term	termino
terms	kondisyon
terrible	terible
terrific	mahusay
territory	teritoryo
test	binabalo
test	pagbalo
text	teksto
than	kesa
thank	salamat
thank you	salamat
Thank you for your patience while we investigate shipment	Salamat sa saimong pasensya mantang iniimbestigaran niamo an kargamento.
thank you so much	salamat nin marhay
thank you very much	salamat nin marhay
thanks	salamat
Thanks for using our app	Salamat sa paggamit kan samuyang app
that	iyan
that is	iyo iyan an
that's good	marhay yan
the	an
theft	mahabon
their	saindang
them	sinda
theme	tema
themselves	sinda
then	saka
theory	teorya
there	duman
there are	igwa nin mga
there is	igwa nin
therefore	kaya
these	An mga ini
they	sinda
they are	sinda
thick	mahibog
thief	mahabas
thigh	hita
thin	manipis
thing	bagay
things	mga bagay
think	mag-isip
third	pangatolo
thirsty	paha
thirteen	trese
thirty	trienta
this	ini
this is	ini an
thorough	lubusan
thoroughly	lubusan
those	mga idto
though	maski
thought	kaisipan
thought	nag-iisip
thoughtful	mapag-isip
thoughts	mga iniisip
thousand	mil syen
thread	torsido
threat	pananakot
threaten	bantaan
three	tolo
threshold	limitasyon
thrilled	nagkukubog-kubog
thrive	umuswag
throat	halunan
through	paagi sa
throughout	sa bilog na
throw	itapok
thumb	tanggurangan
thunder	daguldol
Thursday	Webes
thus	kaya
tick	tsekan
tide	pagtaas nin tubig
tidy	malinig
tie	pagkakabugkos
tie	ibugkos
tiger	tigre
tight	piot
time	oras
timid	masusupgon
tiny	saditon
tip	puro
tire	goma
tired	pagal
tissue	tisyu
title	titulo
to	pasiring
to be	magin
toast	magtusta
today	ngonyan
toddler	aking sadit
toes	garamoy sa bitis
together	magkairibanan
toilet	banyo
told	nagsabi
tolerance	pagtogot
tolerate	tolerar
tomato	kamatis
tomorrow	sa aga
tongue	dila
tonight	ngonyan na banggi
too	man
took	kinua
tool	kagamitan
tools	mga kagamitan
tooth	ngipon
top	taas
topic	topiko
torn	gisi
torture	pasakit
total	kabilugan
touch	dutan
tough	matatag
tour	pasyar
toward	pasiring
towards	pasiring sa
towel	twalya
town	banwa
toxic	nakakahilo
trace	susog
track	subaybayan
trade	komersyo
trade	makipagnegosyo
tradition	tradisyon
traditional	tradisyunal
traffic	trapiko
trail	dalan
train	tukdoan
train	tren
training	pagsasanay
trait	katangian
traits	mga ugali
transfer	lipat
transition	transisyon
translate	tradusir
transparent	silag
transport	darhon
transportation	transportasyon
trap	silo
trash	basura
travel	magbyahe
tray	trey
treasure	kayamanan
treat	trato
treatment	pagtrato
tree	kahoy
tremendous	makangangalas
trend	uso
trial	purbar
trick	liksi nin kamot
tried	nagpurbar
trigger	gatilyo
trigger	gatungan
trim	putulan
trip	byahe
trip	gusto lang gibuhon na mayo nin rason
trouble	ribok
trousers	pantalon
truck	trak
true	TOTOO
trunk	likod nin kotse
trunk	lawas nin kahoy
trust	magtiwala
trust	tiwala
truth	katotoohan
try	purbar
tube	tubo
Tuesday	Martes
tuition	matrikula
turkey	pabo
turn	liko
turtle	pagong
tutor	tagapagtokdo
twelve	dose
twenty	baynte
twenty-one	byante-uno
twice	duwa
twist	biribidon
two	duwa
type	klase
typical	kaladasan
ugly	makanos
ultimate	panghuri
umbrella	payong
unable	dai kaya
uncle	amaon
unconscious	mayong malay
under	irarom
underneath	sa irarom
understand	maintindihan
understood	naintindihan
uniform	uniporme
unique	kakaiba
unit	yunit
university	unibersidad
unknown	dai maaraman
unless	maliban na sana kun
until	sagkod sa
unusual	bakong ordinaryo
up	sa itaas
up to you	nasa saimo
upon	sa
upset	anggot
urge	sulsolan
urge	sulsol
urgent	dalian
us	kita
use	gamiton
use	paggamit
used	ginamit
useful	kapaki-pakinabang
useless	mayong pakinabang
usual	kadalasan
usually	kadalasan
vacation	bakasyon
vaccination	pagbakuna
vaccine	bakuna
vague	bakong malinaw
valid	balido
valuable	mahalaga
value	pahalagahan
value	kahalagahan
variety	iba-ibang klase
various	iba-iba
vary	iba-iba
vase	laganan nin burak
vast	mahiwas
vegetable	gulay
vegetables	mga gulay
vehicle	behikulo
vendor	paratinda
venom	rara
venue	lugar
verify	biripikahon
versatile	dakol na kayang gibuhon
version	bersyon
vertical	patindog
very	napaka
very good	nakaparahay
vessel	lunadan pandagat
via	paagi sa
vicious	may bisyo
victim	biktima
video	bidyo
view	hilingon
village	baryo
villain	kontrabida
vinegar	suka
vintage	luma
violence	kadahasan
violent	madahas
virgin	birhen
virtue	kabanalan
vision	bisyon
visit	bisita
visit	bisitahon
visual	biswal
vital	importanteng marhay
vivid	malinaw
vocabulary	bokabularyo
voice	boses
void	mayong bisa
volume	dakol
volunteer	boluntaryo
vomit	suka
vomit	nagsuka
vulnerable	maluya
wage	sweldo
wages	sweldo
waist	iksan
wait	halat
waiter	tubig
waiting	naghahalat
wake	nagmata
wake up	magmata
walk	lakaw
walk	maglakaw
walking	naglalakaw
wall	lanob
wallet	pitaka
wander	lagaw-lagaw
wanna	gusto
want	gusto
wanted	ginusto
war	giyera
wardrobe	aparador
warehouse	bodega
warm	magpainit
warm	mainit-init
warn	balaan
warning	patanid
warrior	gerero
wash	laba
waste	basura
waste	ibasura
watch	dalan
water	tubig
watermelon	pakwan
wave	alon
wave	kaway
way	dalan
we	kami
we are	kami
we can	kaya ta
weak	maluya
weakness	kaluyahan
wealth	yaman
wealthy	mayaman
wear	sulot
wearing	sulot
weather	kamugtakan nin panahon
wedding	kasal
Wednesday	Miyerkules
weed	duot
week	semana
weekend	katapusan in semana
weight	gabat
weight	magpagabat
weird	kakaiba
welfare	kapakanan
Well	bueno
well done	matibay an pagkakagibo
went	nagduman
west	solnopan
wet	dumog
whale	balyena
what	ano
what about you	ika
what are you doing	ano an piggigibo mo
what are you doing now	ano an piggigibo mo ngonyan
what are you doing right now	ano an ginigibo mo ngonyan
what do you do	ano an ginigibo mo
what do you do for a living	anong trabaho mo
what do you mean	ano an buot mong sabihon
what do you want	ano an gusto mo
what happened	anong nangyari
what is	ano an
what is this	ano ini
what is your job	ano an trabaho mo
what is your name	ano an pangaran mo
what's up	anong igwa
what's your name	anong pangaran mo
whatever	maski ano
wheat	trigo
wheel	ruweda
when	nuarin
whenever	nuarin man
where	saen
where are you	haen ka
where are you from	taga saen ka
where are you now	haen ka ngonyan
where do you live	saen ka nakaistar
where is	saen an
whereas	samantala
whether	kun
which	arin
while	mantang
whisper	hinghing
whistle	pito
white	puti
who	siisay
who are you	siisay ka
who is	siisay an
who is this	siisay ini
whole	bilog
whom	para kiisay
whose	na an
why	tano
why not	tanu ta dai
wicked	maraot
wide	mahiwas
widow	balo
width	lakbang
wife	agom na babaye
will	testamento
willing	gusto
win	manggana
wind	duros
window	bintana
windy	madoros
wine	alak
winter	taglipot
wipe	punas
wire	kawad
wisdom	kadunungan
wise	madunong
wish	gusto
wish	gustuhon
witch	aswang
with	kaiba
withdraw	bawion
withdrawal	pag-atras
within	sa laog nin
without	mayo
witness	nakahiling
witness	nahiling
witty	matali
wolf	lobo
woman	babaye
women	babaye
won	nanggana
won't	dai
wonder	nagngalas
wonderful	kahanga-hanga
wood	kahoy
wool	lana
word	tataramon
words	mga tataramon
work	trabaho
work	nagtatrabaho
work out	tinatrabaho
working	nagtatrabaho
world	kinaban
worm	bulate
worn	sinulot
worried	nababahala
worry	hadit
worse	malala
worship	pagsamba
worst	malala
worth	halaga
worth it	sulit
worthy	mahalaga
wound	lugad
Wow	Wow
wrap	nagpatos
wrath	kaanggotan
wrist	pulsohan
write	surat
Write here	Magsurat digdi
writing	pagsurat
written	nasusurat
wrong	sala
wrote	nagsurat
yard	natad
yawn	naghahagab
yawn	hagab
Yeah	Iyo
year	taon
years	mga taon
yeast	lebadura
yell	suriyaw
yellow	amarillo
Yes	Iyo
yes baby	iyo baby
yes dear	iyo sakong namumutan
yes honey	iyo honey
yes my love	iyo sakong namumutan
yes of course	iyo syempre
yesterday	kasuhapon
yet	pa man
yield	nagtao
you	ika
you are	ika
you are beautiful	magayon ka
you are so beautiful	magayonon ka
you can	pwede kang
You know	Aram mo
you too	ika man
young	aki pa
your	saimo
yourself	saimong sadiri
youth	kabataan
you’re welcome	dagos tabi
yummy	masiram
zero	sero
