a little	ałtsʼíísí
have a good day	nizhónígo neeʼooʼááł  dooleeł
have a nice day	nizhónígo neeʼaʼdooʼááł
have breakfast	abínígo yidánígíí łaʼ niyą́
have fun	niłhoneenih
have you eaten	daʼ ííníyą́ą́?
having	hwee hólǫ́
hazard	bááhadzid
haze	áhí
he	bí
he has	bí éí
he is	bí éí
head	atsiitsʼiin  as in body part
headache	atsiitsʼiin diniih
headache	atsiitsʼiin neezgai
heal	nádziih
healing	nádziihgo
health	atsʼíístah ahootʼéhígíí
healthy	atsʼíístah yáʼáhootʼééh
hear	azhdiitsʼaʼ
heard	azhdiiztʼą́ą́ʼ
heart	ajéí
heat	deesdoi
heat	honeezgai
heaven	yáʼąąsh
heavy	nidaaz
hectic	tʼáá naʼnileʼdii
height	dego anilnééz
heir	diné háíshį́į́ kéyah baa daatʼaahígíí
heist	anitʼį́į́ʼ
held	iiltsood
held	wótąʼ
hell	chʼį́įdiitah
Hello	yaʼátʼééh
hello dear	yaʼátʼééh, awééʼ
hello how are you	yaʼátʼééh, haash nítʼé?
hello how are you doing	yaʼátʼééh, haanítʼé?
helmet	chʼah
help	ákaʼeʼeyeed
helpful	ákaʼanálwoʼ
hence	akotéego
her	bí
herd	naakai
here	kǫ́ǫ́h
heritage	óʼoolʼįįł
hesitate	bichʼįʼ neʼjilį́
Hey	Shooh
Hi	Yaʼátʼééh
hi how are you	yaʼátʼééh, haash nítʼé?
Hi there	yaʼátʼééh
hidden	nanilin
hide	nanitʼin
hide	nanilʼin
hierarchy	ádíhólnííh
hierarchy	atisgo nitsáhákees
high	hódah
highlight	yitʼínígíí
hike	nahgóó nijigháh
hiking	nahgóó taʼdidááh
hilarious	yéego baa dloh hasingo
hill	dah yiskʼid
him	bí
hint	tʼóó kʼasdą́ą́ʼ baa chʼíhootʼánígíí
hip	awoozhnííʼ
hips	atłʼaakááʼ
hire	ahoʼdooltʼeʼ
hiring	naanish biniiyé ahoʼdiltʼeʼ
his	bí
history	nátʼą́ą́ʼ náháneʼ
hit	nidooltsʼin
Hmm	hmmm
hobby	bízhneedlį́įgo ájiłʼínígíí
hold	wotąʼ
hold on	ałtsé shooh
hole	ahoodzą́h
holiday	tʼáá haʼátʼííshį́į́ binahjįʼ bił nídahootʼaahígíí
hollow	biiʼhooltsʼaaʼ
home	hooghan
homework	hooghandi naanish alʼínígíí
honest	tʼáá aníí haneʼ
honestly	tʼáá anii áhaʼníigo
Honey	niłtsá bitłʼizh Achʼooníh
honor	baa haʼniih
honor	bee bééhoʼdilzin
hood	chʼah naatsʼǫǫdí
hook	bee náʼiilzhahí
hop	nikíhizhdighą́ą́h
hope	siih hodinidzin
hopefully	hajoobaʼ áhwiinidzin
hopeless	doo hasxihjįʼ da
horizontal	neʼgóó naaniigo
horn	adeeʼ
horrible	baaʼih
horror	yéego bááhadzid
horse	łį́į́ʼ
hospital	azeeʼ ílʼį́ hotsaa
hospitality	aaʼáhayą́
host	diné hasʼánígíí
hostile	tʼáá atíʼdoolíiłgo naagháh
hot	sidoh deesdoi  hot weather
hotel	tséskʼeh báhooghan
hour	ałhééʼilkid
hours	ałhxééʼiilkeed
house	kin
household	hooghan hazʼą́ągi
how	Haash yitʼéego?
how	Haitʼéego?
how about you	nishąʼ?
how are you	haash yindzaa?
how are you	haash nítʼé?
how are you doing	Haash nítʼé?
how are you doing	Nitah haash hootʼé?
how are you doing today	díí jį́h haash nítʼé?
how are you doing today	díí jį́h haanítʼé?
how are you today	díí jį́h haash nítʼé?
how do you do	haʼátʼíish baa nininá?
how is	haitʼéego?
how many	dikwííh?
how much	dikwííh bą́ą́h alį́?
how much	haanéeltʼeʼ?
how often	hahgo shąʼ?
how old are you	dikwíí ninááhai?
how old are you	dikwíish ninááhai?
how was your day	díí jį́h haitʼéego nee iʼííʼą́h?
how was your night	haitʼéego niiską́h?
however	akotʼée nidi
hub	chidí bikeeʼ yee náálwołígíí
hubby	achʼooníh
hug	adiʼiiltsood
huge	nitsxaaz
human	bilaʼashdlaʼii
humble	hozhdisin
humid	deesdoi
humidity	deesdoi
hundred	neeznádiin
hungry	dichin hasin
hunt	naʼalzheeh
hurricane	níyoltsoh
hurry	tsxį́įłgo
hurry up	tsxį́įłgo
hurt	neezgai
husband	ahastiin
hustle	tsxį́įłgo
hut	shashoh
hygiene	tʼáá hó jizínígi ádaaʼáhayą́
I	shí
I am	shí éí
I am fine	doo aníshtʼéhí da
I am fine	shitah yáʼáhootʼééh
I can	shí éí
I can't	shí éí
I do	shí éí
I do not know	doo shił bééhozin da
I do not understand	doo bikʼiʼdiishtįįh da
I don't	shí éí nida
I don't know	doo shił bééhozin da
I don't understand	doo bikʼiʼdiishtįįh da
I don't understand what you mean	tʼáá bidinánígíí doo bikʼiʼdiishtįįh da
I don't understand you	doo nikʼiʼdiishtįįh da
I don’t know	doo shił bééhozin da
I don’t understand	doo bikʼiʼdiishtįįh da
i guess	shí íiniizį́į́
I had	shí éí
I have	shí éí
I have been	shí éí
I hope so	tʼáá shǫǫd yę́ę
I know	shił bééhozin
I like	shił yáʼátʼééh
I like	shił nizhóní
I like you	shił yáʼánitʼééh
I love	ayóo shił yáʼátʼééh
I love	ayóóʼíínishníh
I love my big brother	shinaaí ayóóʼíínishníh
I love my big sister	shádí ayóóʼíínishníh
I love my father	shizheʼé ayóóʼíínishníh
I love my little brother	shitsilí ayóóʼíínishníh
I love my little sister	shideezhí ayóóʼíínishníh
I love my mother	shimá ayóóʼíínishníh
I love you	Ayóóʼaníínishníh
I love you	nizhónígo yáʼátʼéehgo naanitséskees
I love you so much	yéego ayóóʼíínishní
I love you too	shí ałdóʼ ayóóʼaníínishníh
I mean	shí tʼáá dishnígíí éí
I miss you	náhásááh
I miss you so much	ayóo náhásááh
I see	yishį́h
I think	baa nitséskeesígíí
I understand	bikʼiʼdiishtiih
I want	nisin
I want to see you	niideestsééł nisin
I want you	nininzin
I was	shí éí
I will	shí éí
I would be	shí éí
I'm	shí éí
I'm fine	shitah yáʼáhootʼééh
I'm good	yaʼanishtʼééh
I'm here	shí kǫ́ǫ́h
ice	tin
ice cream	abeʼ yistiní
idea	tʼáá haʼátʼííshį́į́ baa nitsáhaskézígíí
ideal	bohónéedzą́h
ideal	yéego nizhóní
identical	tʼáá ałhxeeltʼé
identify	ééhoozį́į́h
identity	bee ééhozinígíí
idiot	diigis
idle	tʼáá bí yilwoł
ignore	doo ádízhdeeltiʼ da
ill	atah hodiniih
ill	tsʼíís niidóóh
illegal	doo bee hazʼą́ą da
illness	atah honiigááh
image	naʼashchʼąąʼígíí
imagine	baa nitsáhákees
immediate	tsxį́įłgo
immediately	tʼáá áko tsxį́įłgo
immense	nitsxaaz
impact	bideetʼiʼ
impatient	ádahozhdeeláago
implement	bee adoonishígíí
import	tʼáá haʼátʼííshį́į́ yah iigeeh
important	yéego bóholnííh
impose	tʼáadoo nidziní nidi hachʼįʼ biʼilniiʼgo
impossible	doo bíighah da
impress	hwił nizhónígo
impression	bee ííshjání azhdilnééh
impression	bee ííshjání ázhdiilyaaígíí
impressive	yéego nizhóní
improve	nizhónígo bee náás jideeyáago
improvement	nizhónígo éʼélnééh
in	góne
in addition	bínáánáaʼnilgo
In fact	jó díigi átʼé
in front of	bidáahgi
in order to	bee ajilééh
inappropriate	doo yáʼátʼéeh da
incentive	tʼáá haʼátʼííshį́į́ azhdoolíiłgo binahjįʼ haʼdoodiłígíí
incident	haashį́į́ hoodzaaígíí
include	booltąʼ
including	bóóltąʼ
income	naanish bitsʼą́ą́dóó béeso ajiłʼínígíí
inconvenience	doo tʼáá ałtsohjįʼ bíighah da
increase	łąʼí silį́į́ʼ
increased	dego kódzaa
incredible	doo lá dóʼ nizhóní da
indeed	tʼáá aníí
independent	tʼáá sáhí atʼį́
indicate	bee ííshjání alyaaígíí
indigenous	bitsįʼ yishtłizhii
individual	łaʼ jizį́h
industry	tʼáá haʼátʼííshį́į́ álʼį́įgo bił hazʼánígíí
inevitable	bitsʼąą áhatʼį́į nidi tʼáá ahotʼįįhígíí
infant	awééʼ
infection	łóód silį́į́ʼ
infinity	doo ninítʼiʼ da
infinity	tʼáá niléígóó náás hoolzhish
inflammation	atsʼíískááʼgóó neezgaigo nidanichaad
inflation	tʼáadooleʼé ayóo daʼilį́ daaleehgo
influence	ajitʼéhígíí
inform	bee ił haneʼ
information	bee baa haneʼí
ingredients	chʼiyáán bił alnéhígíí
ingredients	bił tʼáá haʼátʼííshį́į́ alnéhígíí
inheritance	hachʼįʼ biʼilniiʼígíí
initial	hólónígíí
initiative	habiilyeedígíí
injured	deeznih
injured	jideeznih
injury	jideeznih
innocent	doo bohodiitʼiʼ da
innovation	ałkééʼ nináʼiʼnííł
inquiry	bee baa haneʼí binaʼídikid
insane	doo yáʼátʼééhgóó nitsékees
insect	chʼosh
insecure	doo adéíjódlíígóó
insert	biih yitʼaah
insert	bikátʼah iitʼaah
inside	honeʼí
insight	jinéłʼį́įgo baa nitsáhákees
insist	ajinínígíí
insomnia	chʼééh ajiiłhxáásh
inspiration	hwee haʼahoníh
inspire	saad yáʼátʼéhígíí bee yátiʼ
install	tʼáá haʼátʼííshį́į́ biih yiʼnííł
instance	tʼáá hooshchʼįʼ ádzaa
instant	tsxį́įłgo
instead	nidago
instead of	díigo shąʼ
instructions	bikʼeh ádahodooníłígíí
instrument	dilníh
insult	saad bikʼeʼashchʼíʼígíí bee diné bichʼįʼ yátiʼ
insurance	béeso áchʼą́ą́h naaʼnil
intact	yótąʼ
intact	béshjééʼ
integrity	bee jizínígíí
intellectual	tʼáá ałtsohjįʼ baaʼákozhnízingo
intelligence	hwił ééhozin
intelligent	tʼáadoo hodinaʼí akʼiʼdiitįįh
intend	tʼáá ákonéehgo
intend	tʼáá ákóhwiinidzingo
intended	tʼáá akonéehgo
intense	niłdzil
intention	hwiinidzin
interact	ałhxił naʼaldeeh
interaction	ałnádaʼooztiin
interest	bóhoneedlį́
interested	bízhneesdliid
interesting	bóhoneedlį́h
interfere	ataʼ ajiiyáago
intermediate	bitaʼgi átʼéhígíí
intermediate	bitaʼgi hazʼánígíí
internal	biyiʼdę́ę́ʼ
international	tʼáá náhwiizʼą́ nítʼę́ę́ʼ
internship	naanish bee óhooʼaah
interpret	ataʼ haneʼ
interpreter	ataʼ halneʼí
interrupt	dineeskai
interview	naanish biniiyé nahódikidígíí
intimate	yáʼátʼéehgo ałhxaah nitsáhákees
into	biyijįʼ
introduce	adééhoolzįįh
introduction	adééhojoołzįįh
introvert	yázhnizin
intuition	tʼáadoo hodinaʼí akʼizhdiitįįh
invalid	doo ílį́į da
invent	tʼáá haʼátʼííshį́į́ hazhdiilaago
invent	tʼáá haʼátʼííshį́į́ ájiilaago
inventory	tʼáadooleʼé hólónígíí nááhedzóóh
invest	béeso ádoolnííł biniiyé tʼáá haʼátʼííshį́į́ nahaniih
investigate	naʼalkaah
invitation	nihaadíínááł haʼnígíí
invite	hagoh boʼdiʼniihgo
invoice	bikʼehgo achʼįʼ naʼilyéhígíí
involve	atah jilį́h
involved	bee atah jilį́
iron	béésh
is	éí
island	tó siyínígíí ałníiʼgi kéyah dah sikánígíí
isolated	tʼáá sahdii sidá
issue	ináhootʼiʼ
issues	bee anídahaztʼiʼígíí
it is	tʼáá eii
it was	nítʼę́ę́ʼ
it's	eii
it's ok	tʼáá bíighah
It's okay	tʼáá bíighah
item	tʼáadooleʼé
items	tʼáadooleʼé
I’m	shí
jacket	ééʼtsoh
jail	awáaliya
January	Yas Niłtʼees
jar	tózis
jaw	ayaatsʼiin
jealous	oochxį́į́d
jerk	diigis
jewelry	yooʼ
job	naanish
jogging	joowoł
join	bee atah jighááh
joint	ałhadaditʼánígíí
joke	haneʼ baa dloh hasinígíí
journalist	naaltsoos haneʼ yee heidiłíní
journey	jooghálígíí
joy	ił hózhǫ́
judge	ánihwiiʼaahii aanitsáhákees
juice	chʼil bitooʼ
july	Yaʼiishjááshtsoh
jump	dah neeshjį́į́d
june	Yaʼiishjááshchilí
junk	bíighahí
just do it	tʼóó anilééh
justice	tʼáá haʼátʼííshį́į́ há baa nitsáhákeesgo
justify	bééhoozį́į́h
keen	íiyisíí átʼéego
keep	tʼáá niniʼáh
keep it up	nááná dooleeł
kept	hwííʼ silį́įʼ
kettle	jaaʼí
key	bee ąąníditínį́
kick	jiztał
kid	nooséłí
kidding	dloh hodichííd
kidney	achą́ʼashkʼazhí
kids	áłchíní
kill	silyé
kind	haʼáhwiinítʼį́
kinda	ákotʼééshį́į́
kindly	haʼahwiinítʼį́į́ʼ
kindness	haʼahwiinítʼį́
king	naatʼáanii
kiss	aditsʼǫs
kiss	ajiztsʼǫs
kitchen	chʼiyáán alʼíní góneʼ
kite	naaltsoos naatʼaʼí
kite	naaltaʼí
kitten	másí yázhí
knee	agod
knew	hwi bééhozin
knife	béésh
knight	béésh ééʼ
know	ił bééhozin
knowledge	ił ééhozinígíí
known	bééhozinii
label	atʼéhígíí bikááʼ
labor	yéego naʼanish
labour	yéego naʼanish
lack	tʼáá biʼoh
ladder	haazéí
lady	asdzání
laid	neʼ niilyáago
lake	tó dah siyánígíí
lamb	dibé yázhí
lame	doo bóhoneedlį́į da
lamp	kǫʼ diltłiʼí
land	kéyah
landscape	kéyah hazʼą́ądi
landscape	kéyah hazʼą́ągi
language	saad
lap	atéelgi
large	nitsxaaz
last	akéedi
last name	akéedi yízhí
late	doo hah da
lately	tʼáh nítʼę́ę́ʼ
lately	tʼáá ániidígo
later	tʼáá hahgo shį́į́
latest	aniidígíí
latter	ałchʼįʼ kónálnééh bichʼįʼ hoolzhish
laugh	dloh
laughing	dloh hasin
laughter	dloh
launch	dah yiiteʼ
laundry	ééʼ daʼiigis
law	bee hazʼáanii
lawn	tłʼoh
lawyer	aghaʼdiitʼaahii
lay	jiztį́
layer	ałkʼihníkaad
layout	neʼgóó niiʼniłgo
lazy	ił hóyééʼ
lead	aléą́jįʼ oodááł
leader	diné ałąąjįʼ yigáłígíí
leader	naatʼáanii
leaf	atʼą́ą́ʼ
leak	bighánilį́h
lean	naanii astíh
leap	tʼáá hódahgo dah yiiteʼ
learn	bóhooʼąąʼ
learning	óhooʼaah
lease	aʼítʼaah
least	aʼoh
leather	akał
leaves	atʼą́ą́ʼ
led	ajooʼish
led	ajoolóós
left	nishtłʼahjí  as in the left side
leg	ajáád
legacy	bikʼehgo bee ééhoniihígíí
legal	bee hazʼáanii binahjįʼ bee lą́
legend	ałkʼidą́ą́ʼ haneʼ
legit	bohónéedzą́h
legit	yéego nizhóní
leisure	bee atah yáʼáhootʼéhígíí
lend	aʼíléh
lend	aʼínil
length	aniłnééz
less	biʼoh
lesson	binahjįʼ óhwiidooʼáłígíí
letter	naaltsoos ilyaaí
lettuce	chʼił dootłʼizhí
level	nidahazʼánígíí
leverage	tʼáá haʼátʼííshį́į́ bee wótąʼígíí
liability	bee hazʼáanii bikʼehgo hódeetʼiʼígíí
library	naaltsoos wóltaʼí báhooghan
lick	jiłnaad
lie	ayoochʼííd
lies	yoochʼííd
life	iiná
lift	nídiitʼaah
light	adinídíín aszóólí
lightning	niʼdeezdínígíí
likely	akotʼéego
likewise	nilá ałdóʼ neʼ
line	ídzoh
link	béésh daʼaholzhaʼí
lion	náshdóí bitsiiʼ ditłʼohígíí
liquid	tó
list	tʼáadooleʼé nááhéesdzooígíí
listen	ajíitsʼą́ą́ʼ
listening	ajíistsʼą́ą́ʼ
literally	tʼáá awołíbee
literature	naaltsoos wóltaʼígíí
litter	tsxiilzéí
little	ałtsʼíísí
live	kééhatʼį́
liver	ajéí yilzólii
lives	iiná
living	hiiná
living room	hooghan biyiʼ hazʼánígíí
lizard	naʼashǫ́ʼiiłbáhí
load	hxééł
loaf	bááh
loan	tʼáá haʼátʼííshį́į́ aʼilyáago
loan	béeso aʼini
local	tʼáá ákweʼé hazʼánígi
local	tʼáá ákweʼé hazʼánídi
location	háadi hazʼánígíí
location	haaʼígi hazʼánígíí
lock	ałdah nátʼáá bee daʼniʼdilkałígíí
lockdown	dádaʼdeeskaal
log	tsin
lol	dloh
lonely	tʼáá sáhí naʼadáh
long	nineez
long time no see	hádą́ą́ʼ shį́į́ tʼáá neeshʼį́į́ nítʼę́ę́ʼ
look	níníłʼį́h
loop	náhazbąsgo ahééhonitʼiʼ
loose	doo niłdzil da
lord	diyin
lose	yóóʼádzaa
loss	yóóʼaʼjiłdiłgo
lost	yóóʼaaltsʼid
loud	ayóí íitsʼaʼ
lounge	dah naʼíistání góneʼ
love	ayóóʼóʼóníh
love you	ayóóʼáníínishníh
lovely	nizhóní
low	hoyahgo
lower	hoyahdi
lower	hoyahgo yaa kólnééh
loyal	doo honaʼadloʼ da
loyalty	doo yoochʼííd bił nijigháágóó
luck	akʼihojidlíh
lucky	akʼihojidlíh
luggage	hééł
lump	hadzííʼáh
lunch	ałníʼníʼą́ągo yistʼéí
lunch	ałníʼníʼą́ągo chʼiyáán yidánígíí
lungs	ajéí yilzólii
luxury	hózhǫ́ʼ
lying	biyoochʼííd
machine	bee naʼanishí
mad	áhachxįʼ
madam	asdzání
made	ályaa
magazine	naaltsoos wóltaʼí atseezį́h yaa halneʼí
magazine	naaltsoos wóltaʼí
magnificent	tʼáá íiyisíí nizhóní
maid	hashtʼehósiní
main	íiyisígíí
maintain	binináʼanish
maintenance	binidaʼanishí
major	tʼáá íiyisíí
majority	kʼasdą́ą́ʼ tʼáá átʼé
make	alnééh
make	anilééh
make up	bee áʼdilzhǫǫhí
male	bikąʼ
mall	naalyéhí bádahooghan
man	diné
man	hastiin
manage	binaʼanishígíí
management	tʼáá haʼátʼííshį́į́ bikʼih adéestʼį́įgo binaʼanish
manager	naanish yikʼih déezʼį́ʼį́
mandatory	tʼáá íiyidíí bee hazʼą́
manifest	tʼáá ííshjání yitʼį́
manipulate	tʼáadooleʼé jinízinígi átʼéego nijiinilgo
manner	haʼátʼeʼ
manual	bikʼehgo nidaʼanishí
many	ląʼí da
many many happy returns of the day	ił hózhǫ́ bee náásgóó nááholzhish dooleeł
march	jinítʼiʼgo ałkééʼ oldah
margin	bíighahjígo hazʼánígíí
market	nidaʼiiniih bił nídahootʼaahígíí
marriage	agééh
married	asgeh
mask	aniikʼééditʼáhí
mass	aniłtsooígíí
massive	nitsxaaz
master	bilá jiiyáago
match	ałhxeełtʼéego alnééh
mate	bił naʼatʼaashí
mate	bił nijiʼaashígíí
material	naatʼą́hí
math	ałhídaʼayiidzóóh
maturity	hoyáanii
maybe	daatsʼí
maybe	shąʼshin
me	shí
me too	shí ałdóʼ
meal	chʼiyáán doodíłígíí
mean	tʼáá haʼnínígíí
meaning	tʼáá haʼnínígíí
means	tʼáá haʼnínígíí
meant	tʼáá haʼnínígíí
meanwhile	tʼáá ałhxííshghah áhoonííł
measure	bíʼneelʼąąh
measures	bízhneełʼąąh
meat	atsįʼ
medical	atsʼíís nídanélʼįįh
medicine	azeeʼ
meditation	ahodéesdzéelgo nitsíjikees
medium	ałnííʼ góneʼ anitłsooígíí
meet	yaa níyáh
meeting	ałah aleeh
melt	dííłhxį́į́ʼ
memories	ééhaniih
memory	bééhaniih
mental	honitsáhákees
mention	bee haʼoodzííʼ
mentioned	baa haʼoodzį́į́ʼ
mentor	naanish yá ééhozingo bił naʼanishí
merchant	tʼáadooleʼé nahaniihígíí
mercy	aahxą́ą́hwiinidzin
merely	tʼéíyá
merry christmas	Késhmish Baa Hózhǫ́
mess	haʼoolʼáh
message	haneʼ alyaaígíí
messy	tʼóó hodichosh
metal	béésh
method	tʼáá haashį́į́ yitʼéego alnéhígíí
mice	naʼastsʼǫǫsí
middle	ałníigi
middle	ałníidi
midnight	tłʼéʼííłnííʼ
might	daatsʼí
mild	tʼáá hazhóóʼígo
milestone	bitis nááʼdeesdzáh
military	silaołtsooí
milk	abeʼ
million	dimííltsoh
mind	honitsékees
mindset	nitsíjíkeesígíí
mine	shí
mingle	ałhxił naʼaldeeh
minor	nooséłí
minute	dah alzhin
minutes	dah alzhin
miracle	tʼáá haʼátʼííshį́į́ yáʼátʼéhígi áhootʼįįhgo
mirror	tsésǫʼ biyiʼ adizhnélʼínígíí
miscellaneous	tʼáadooleʼé ałʼąą ádaatʼéhígíí
mischievous	hweʼadilááh
miserable	doo hatah yáʼáhootʼéeh da
misery	doo hwił haldingóó
miss	isdzih áhalzááh
miss you	náhásááh
miss you	náhalzááh
missing	báhalyááh
mission	naanish biká ahatʼínígíí
mist	shoh
mistake	isdzih
mobile	naatʼáago
mock	tʼóó aanáhátʼįh
mock	tʼóó aaʼoodloh
model	binahjįʼ átʼéego nélʼínígíí
moderate	doo yéego átʼée da
modern	kʼad hoolzhishígíí
modest	tʼáá háajįʼ shį́į́ bee hazʼánígíí
moist	ditłééʼ
moisture	ditłééʼ
mold	dláád
mole	łeʼatsoh
mom	amá
moment	haaʼíshį́į́ hoolzhishgo
monday	Damóo Biiskání
money	béeso
monitor	yinaagháhígíí
monkey	mágí
month	nahidizídígíí
mood	aʼátʼeʼ
moody	haʼátʼeʼ átʼéhígíí
moon	tłʼéhonaaʼáí
moral	binahjįʼ óhooʼaahígíí
more	łaʼ nááná
moreover	łahgo anáánátʼéego
morning	abiní
mortgage	hooghan bikʼéh naʼiilyéhígíí
most	tʼáá átʼé
mostly	kʼadą́ą́ʼ tʼáá átʼé
mother	amá
motion	nijiiʼnáago
motivation	chanah jilį́
mountain	dził
mouse	naʼatsʼǫǫsí
mouth	azééʼ
move	nahaʼnáh
movement	hidilnááh
movie	naalkidí
mrs	asdzą́ą́
mud	hashtłʼish
mug	bąąh haʼíizhahí
muscle	adoh
museum	tʼáadooleʼé danélʼį́h bił hazʼánídi
music	dilníh
must	tʼáá íiyisíí
mute	doo íitsʼaʼí da
mutual	bee ałhaaʼákohwiinidzin
my	shi
My dear	sheʼawééʼ
my friend	shikʼis
My hovercraft is full of eels	shitáłkááʼ nidzitʼiiyí táłtłʼááh tłʼiizh biyiʼ haʼdeezbin
my love	sheʼayóóʼóʼóníh
my love	shiʼchʼooníh
my name is	íinishyéhígíí éí
my name is	shizhiʼ éí
my pleasure	shił bíighah
my pleasure	shił yáʼátʼééh
myself	shí
mysterious	doo bééhozin da
mystery	doo bééhozin da
myth	haneʼ ádaalyaaígíí
nail	bee iłdaʼalkaałí
naive	tʼáadooleʼé doo hwił bééhozin da
name	yizhí
narrative	halneʼí
narrow	áhoołtsʼóózí
nasty	baaʼih
national	kéyah nitsaago bił hahoodzooígíí
nationality	kéyah bił hahoodzoh naʼadáhídę́ę́ʼ
native	tʼáá íiyisíí tʼáá áádóó naʼadá
natural	nahasdzáán biyiʼdóó hazlį́ʼígíí
nature	tłʼóógóó bee ahootʼéhígíí
nature	tłʼóógóó bee hahodítʼéhígíí
nausea	nizhdikwiih
nausea	kwiih
Navajo	Naabeehó
Navajo	Diné
near	ayiidí
nearby	tʼáá ayíídígi
nearby	tʼáá ayiidí
nearly	kʼasdą́ą́ʼ
neat	nizhóní
necessary	nidzinígíí
neck	akʼos
necklace	yooʼ
need	nidzin
negative	haʼátʼeʼ dah doo yáʼátʼééhgóógo
neglect	doo hazhóʼó baaʼáhayą́ą da
negotiate	baa nikʼíyátiʼ
neighbor	hanaagóó diné bił kééhojitʼínígíí
neighborhood	diné hanaagóó dabighanígíí
neither	doo łaʼ da
nephew	shiyáázh  as in the girl saying it
nephew	shidaʼ  as in the boy saying it
nephew	shiyeʼ  as in the boy saying it
nerd	diné ayóo nitsékeesígíí
nervous	náhadzid
nest	atʼoh
net	naneesdizí
network	tʼáá ałtsohjįʼ bee oonish
neutral	doo ałtsázhdinidleʼgóó
never	tʼáhdoo da
never give up	doo tʼóó biʼjiłníih da
never mind	nichxǫ́ʼ shį́į́
nevermind	nichǫʼ
nevermind	nidashį́į́
nevertheless	azhą shį́į́ ákotʼée nidi
new	aniidí
news	haneʼ baa dahaneʼí
next	nááná ákoneʼ
next to	bíighahdi
next to	bíighahgi
nice	yaʼátʼééh
nice	nizhóní
nice to meet you	yaʼátʼéehgo ałhxééhosiilzįįd
niece	shicheʼé shimá yázhí
night	tłʼééʼ
nightmare	nízhdiilgąązh
nightmare	nízhdiitłizh
nine	náhástʼéí
nineteen	náhástʼéítsʼáadah
ninety	náhástʼédiin
No	dooda
No	nidigaʼ
no problem	doo bee nanitłʼaaí da
no way	dooda
no way	doo hazʼą́ą da
nobody	do háí da
noise	hahóóʼáh
noisy	hahóóʼáh
none	ádin
noon	ałníʼniʼą́h
nope	dooda
nor	nidago
normal	tʼáá ákotée łeh
north	náhookʼǫs
nose	achį́į́h
nostalgic	dooda dooleeł nítʼę́ę́ʼ hwiinidzingo
not	nidah
not at all	nidah
not bad	tʼáá yáʼátʼééh
Not now	kʼad éí nida
not yet	tʼáhdoo da
note	naaltsoos haneʼ bee ályaaígíí
noted	haneʼ yisdzoh
nothing	adin
notice	baa ákohwiinidzin
noticed	baaʼákohwiiniidzį́į́ʼ
noun	tʼáádooleʼé naadeełii
nouns	tʼáadooleʼé naadeełii dabizhiʼ
novel	naaltsoos wóltaʼí
november	Níłchʼihtsʼósí
now	kʼad
nowadays	díí jį́įdi
nuisance	diné báhodoonihígíí
null	doo ilį́į da
numb	yitsxííʼ
number	anéeltʼeʼígíí
nurse	azeeʼ neikáhí
nut	neeshchʼííʼ
nutrition	chʼiyáán yáʼátʼéhígíí
oath	yazhdiilniiʼ
obesity	ayóí áábid
obey	bikʼeh hojilʼį́h
object	tʼáádóoleʼé
objective	bee ádáhojisʼánígíí
obligation	doo áhwiinidzin da nidi bee hazʼánígíí
obscure	doo bééhozin da
observation	haʼalzííd
observe	haalzííd
obsessed	adánoosnííʼ
obsession	tʼáá íiyisíí jinízin
obsolete	kʼad doo chooʼį́į da
obstacle	tʼáá haʼátʼííshį́į́ hachʼą́ą́h hólónígíí
obtain	chóʼooztʼeʼ
obtain	nídiilyá
obtained	nízhdiilá
obtained	nídiilyá
obvious	tʼáá ííshjání átʼéhígíí
obviously	tʼáá ííshjání átʼéhígíí
occasionally	łah da
occupation	naanish
occupied	hanaanish hólǫ́ǫgo
occur	ádzaa
occur	áhoodzaa
occurred	ádzaago
occurs	adzaa
ocean	tóniteel
october	Ghąąjįʼ
odd	haashį́į́ yitʼé
odds	dabiʼohígíí
of course	tʼáá áko
off	asdiid
offensive	akʼizhdiitʼaah
offer	bóʼoolkąąh
office	naaltsoos binidaʼanish góneʼ
official	ilį́įgo alyaa
often	tʼáá ałhxą́ą́h
Oh	Ǫ́ǫ
oh really	daʼ tʼáá aníí
oil	akʼah
oil	chidí bikʼah
ok	tʼáá áko
ok	bíighah
ok dear	bíighah, awééʼ
ok honey	bíighah, shichʼooníh
ok my love	tʼáá áko, shichʼooníh
okay	tʼáá áko
okay	bíighah
okay baby	bíighah, awééʼ
okay dear	tʼáá áko, awééʼ
okay honey	tʼáá áko, shichʼooníh
okay my love	tʼáá áko, shichʼooníh
old	sání
once	tʼááłáʼíhídi
one	tʼááłáʼí tʼáá eii  as in the one
one language is never enough	saad tʼááłáʼígo doo bíighah da
onion	tłʼohchin
online	béésh łichíiʼii nitsékeesí biyiʼjįʼ
only	téíyá
open	ąąʼátʼé
operation	naanish biʼoonishígíí
opinion	íizhnizingo bee haʼoodzíʼígíí
opportunities	bee adahaztʼiʼígíí
opportunity	bikʼéhalzhishgo
opportunity	bił hooʼaahgo
opposite	bidinínáh átʼéhígíí
optimistic	hajoobaʼ íizhnizin
option	łahgo átʼéego baa nááhonítʼiʼgo
optional	bíighahdą́ą́ʼ
or	doodago
orange	łitsxo
order	bikáʼéʼalnééh
ordinary	tʼáá ákotʼéhígíí
organization	ałąąh nehaʼníiłgo hashtʼeelnééh
organization	ałkééʼ nehaʼníiłgo hashtʼeelnééh
orientation	naanish binaʼniltin
