tenê	a little
eleqedar	related
têkilîye	relationship
nisbî	relative
merdim	relative
merdimî	relatives
boya xo dayene	relax
raverdayîş	release
raverdayene	release
azadkerde	released
eleqedar	relevant
biîtîbar	reliable
rehet kerdene	relief
rehet bîyene	relieve
rehet	relieved
dîn	religion
dînî	religious
bêzerrî	reluctant
bawer bîyene	rely
mendene	remain
mendene	remaining
balkêş	remarkable
derman	remedy
xo vîr ameyene	remember
xo vîr ardene	remind
vîrardox	reminder
dûrî	remote
wedaritene	remove
cenayene	render
viraştene	render
çarnayene	render
kîra kerdene	rent
tamîr kerdene	repair
tekrar kerdene	repeat
avurnayene	replace
cewab dayene	reply
cewab	reply
rapor	report
rapor kerdene	report
temsîl kerdene	represent
şohret	reputation
waştiş	request
rica kerdene	request
hewce kerdene	require
hewce	required
raxelisnayene	rescue
cigêrayîş	research
ro mendene	resemble
kîn	resentment
caabirnayîş	reservation
abirnayene	reserve
roniştox	resident
îstîfa kerdene	resign
deyax	resilience
pêt	resilient
xo ver o dayene	resist
xoverrodayîş	resistance
çareserîye	resolution
zelalîye	resolution
çareser kerdene	resolve
tehtîlgeh	resort
çimeyî	resources
hurmet kerdene	respect
hurmet	respect
cewab dayene	respond
cewab	response
berpirsîyarîye	responsibility
berpirsîyar	responsible
aresîyayene	rest
ruhê ci şad bo	rest in peace
restoran	restaurant
restore kerdene	restore
sînor kerdene	restrict
netîce	result
netîceyî	results
dewam kerdene	resume
perakende	retail
muhafeze kerdene	retain
ramitene	retain
tepîştiş	retention
teqawut	retired
xo peyser antene	retreat
peyser girewtene	retrieve
peyser dayene	return
agêrayene	return
ameye	return
eşkera kerdene	reveal
eşkera	revealed
heyf	revenge
qezenc	revenue
tînapeykî	reverse
çimçarnayîş	review
çim çarnayene	review
çim pira çarnayene	revise
çimçarnayîş	revision
şoreş	revolution
xelat dayene	reward
rîtîm	rhythm
parsû	rib
birinc	rice
dewlemend	rich
qewirnayene	rid
ciniştene	ride
ciniştiş	ride
mesxere	ridiculous
raştîye	right
raşt	right
anika	right now
terrik	rigid
engiştane	ring
tira çarnayene	rinse
serewedaritiş	riot
dirate	rip
dirnayene	rip
resaye	ripe
berz bîyene	rise
berzbîyayîş	rise
rîsk bîyene	risk
rîsk	risk
reqib	rival
çem	river
rayîr	road
sûr kerdene	roast
zixm	robust
kerre	rock
uşîre	rod
rol	role
gindir kerdene	roll
gindir bîyene	roll
serban	roof
oda	room
ristim	root
resen	rope
poyaye	rotten
xirtikin	rough
qebe	roughly
teqrîben	roughly
gilover	round
xeta şîyayîşî	route
rutîn	routine
rêze	row
pira kerdene	rub
pakker	rubber
çop	rubbish
çors	rude
xalîçe	rug
maf kerdene	ruin
qayde	rule
cetwel	ruler
hukimdar	ruler
qeydeyî	rules
vazdayene	run
vazdano	running
neşaristanî	rural
lerze kerdene	rush
lerze	rush
turik	sack
bimbarek	sacred
qurban kerdene	sacrifice
biasayîş	safe
firayîşo ewledar	safe flight
asayîş	safety
budela	sage
vat	said
vaverik	sail
sporê vaverikî	sailing
xatir	sake
meaş	salary
rotiş	sale
somon	salmon
sole	salt
eynî	same
Tîya zî	Same here
nimûne	sample
qum	sand
Sanskrîtkî	Sanskrit
sarkastîk	sarcastic
kustex	sassy
ronişt	sat
tetmîn	satisfaction
memnun	satisfied
razî kerdene	satisfy
tetmînkar	satisfying
Şeme	Saturday
sosîs	sausage
wehşî	savage
seveknayene	save
dî	saw
vatene	say
sentene	scale
dek û dolab	scam
rêçe	scar
nadîr	scarce
tersaye	scared
milpêşe	scarf
tersnak	scary
vilabîyaye	scattered
sehne	scene
manzara	scenery
boye	scent
program	schedule
plan kerdene	schedule
mekteb	school
îlm	science
zanyar	scientist
zanyarî	scientists
meqes	scissors
pede vajîyayene	scold
war	scope
gol eştene	score
xurde	scrap
kinitene	scratch
qîrayene	scream
ekran	screen
vîda	screw
destnuşte	script
derya	sea
mor	seal
ro ci gêrayene	search
demserre	season
qoltuxe	seat
dîyin	second
sirr	secret
beş	section
emîn	secure
asayîş	security
dîyene	see
pê vînenîme	see you
pê vînenîme	see you later
pê vînenîme	see you soon
ez to meşe vînena	see you tomorrow
toxum	seed
ro ci gêrayene	seek
asayene	seem
aseno	seems
dîyaye	seen
îşgal kerdene	seize
dest eştene ser	seize
felç	seizure
destsernayîş	seizure
zaf kêmî	seldom
vijnayene	select
xo	self
xoweşkerdox	self healing
ezez	selfish
rotene	sell
erşawitene	send
resimê xo mi rê birusne	send me your picture
pîl	senior
hîs	sense
mentiqin	sensible
hesas	sensitive
erşawîya	sent
cumle	sentence
cumleyî	sentences
cîya	separate
Sepedî	Sepedi
êlule	september
rêze	sequence
rêzefîlm	series
cidî	serious
cîdî	seriously
îkram kerdene	serve
xizmet kerdene	serve
xizmet	service
roniştiş	session
saz kerdene	set
taxim	set
saz kerdene	set up
eyar	setting
bi ca bîyene	settle
hewt	seven
hewtês	seventeen
hewtay	seventy
çend	several
giran	severe
deştene	sew
sîye	shade
sîye	shadow
raşanayene	shake
tenik	shallow
şerm	shame
şekil	shape
pare kerdene	share
tuj	sharp
a	she
aye de est o	she has
a ya	she is
rişnayene	shed
mîye	sheep
çarşefe	sheet
ref	shelf
qaşik	shell
sitare	shelter
mertal	shield
nobe	shift
beriqîyayene	shine
keştîye	ship
kargo	shipping
îşlîge	shirt
solî	shoes
pana	shoot
dikan	shop
axsate	shopping
qerax	shore
kilm	short
kêmasîye	shortage
panayene	shot
panayîş	shot
doşe	shoulder
zirçayene	shout
musnayene	show
şow	show
mi rê binawne	show me
duş	shower
karîdes	shrimp
kilm antene	shrink
girewtene	shut
huş	shut up
şermokin	shy
way û bira	sibling
way û birayî	siblings
nêweş	sick
het	side
ax	sigh
dîmen	sight
manzara	sightseeing
îşaret	sign
îmza	signature
zaf muhîm	significant
bêvengîye	silence
bêveng	silent
birîsim	silk
gêj	silly
sêm	silver
sey	similar
ehmaq	simp
basît	simple
hemdemkî	simultaneously
ra nat	since
zerrîpak	sincere
zerrî ra	sincerely
kilame vatene	sing
deyîrbaz	singer
azeb	single
binê awe şîyene	sink
binê awe şîyayîş	sink
Beg	Sir
waye	sister
veyve	sister in law
ronîştene	sit
sîte	site
rewşe	situation
şeş	six
şîyês	sixteen
seştî	sixty
girsîye	size
qabîlîyet	skill
qabîlîyetî	skills
çerme	skin
zar	skinny
ravîyartene	skip
eteg	skirt
asmên	sky
kole	slave
rakewtene	sleep
rakewtiş	sleeping
bêhewn	sleepy
astî	sleeve
lete kerdene	slice
lete	slice
şemitene	slide
sivikek	slightly
barî	slim
şemitîyayene	slip
kaş	slope
ca	slot
lane	slot
hêdî	slow
hêdî-hêdî	slowly
qijkek	small
biaqil	smart
boye dayene	smell
beşirîyayene	smile
beşirîyayîş	smile
dû	smoke
bêxirtik	smooth
werdo sivik	snack
şeytanok	snail
mar	snake
cira kerdene	snap
vewre	snow
wina	so
çiqas şîrin	so cute
heta nika	so far
hît kerdene	soak
sabun	soap
hişyar	sober
gudlinge	soccer
komelkî	social
komel	society
puçî	socks
nerm	soft
çîynermê komputure	software
herre	soil
roşîya	sold
temamen rote	sold out
leşker	soldier
binpa	sole
pêt	solid
çareserîye	solution
çareser kerdene	solve
tayê	some
kes	somebody
bi yew hewa	somehow
kesêk	someone
çîyêk	something
ge-ge	sometimes
deyîre	song
demêde nêzdî de	soon
têmîyankewte	sophisticated
Sorankî	Sorani
dej	sore
bidej	sore
qirikdej	sore throat
huzn	sorrow
Qusurî ra meewnî	Sorry
tewir	sort
ro gêra	sought
ruh	soul
hemruh	soulmate
veng	sound
şorbike	soup
tirş	sour
çime	source
başûr	south
feza	space
ca	space
spam	spam
dergîye	span
mudet	span
Spankî	Spanish
bexşnayene	spare
cagir	spare
qisey kerdene	speak
taybet	special
tewirî	species
taybet	specific
muhteşem	spectacular
qiseykerdiş	speech
bêziwan	speechless
lezîye	speed
herf bi herfe vatene	spell
xerc kerd	spend
xerckerde	spent
tuj	spicy
pîj	spike
çarnayene	spin
îspenax	spinach
ruh	spirit
tu kerdene	spit
harîja	splendid
parçe	split
parçe kerdene	split
herimnayene	spoil
rîgirewte	spoiled
spontane	spontaneous
koçike	spoon
nuqta	spot
mulxit	spouse
pişqitene	spread
çime	spring
wisar	spring
kare	square
pelixnayene	squeeze
kalamar	squid
simore	squirrel
ç.	st
kardî kerdene	stab
stabîl	stable
lodike	stack
xebatkarî	staff
sehne	stage
leke	stain
nêrdîwanî	stairs
pîj	stake
rîsk	stake
taqîb kerdene	stalk
axur	stall
damxe	stamp
pul	stamp
pay ra vindetene	stand
stand	stand
standard	standard
estare	star
dest pêkerdene	start
dest pêkerd	started
gestemerde	starving
îfade kerdene	state
rewşe	state
beyan	statement
dinge	station
heykel	statue
statu	status
mendene	stay
mendiş	stay
qayîtê xo ke	stay safe
biîstiqrar	steady
bîftek	steak
tirawitene	steal
bux	steam
polat	steel
tîk	steep
kok	stem
game	step
zeliqnayene	stick
huşk	stiff
hîna	still
sakîn	still
pede dayene	sting
tamakar	stingy
têv dayene	stir
hîse	stock
tirawite	stolen
pîze	stomach
kemere	stone
vindete	stood
tabura	stool
vindetene	stop
embar	storage
pêser kerdene	store
puk	storm
çîroke	story
ocaxe	stove
raşteraşt	straight
raşteraşt	straightforward
tengijîyayene	strain
temaşe	strange
xerîb	stranger
stratejîye	strategy
pîpet	straw
çîlege	strawberry
serî	streak
rêçe	streak
herik	stream
kuçe	street
hêz	strength
stres	stress
derg kerdene	stretch
pêt	strict
piro dayene	strike
la	string
xo rut kerdene	strip
cehd kerdene	strive
felc	stroke
hêzdar	strong
tengekewte	struck
dêsman	structure
mucadele	struggle
mucadele kerdene	struggle
cehd keno	struggling
serehuşk	stubborn
tenganîyekewte	stuck
wendekar	student
wendiş	study
wendene	study
wendiş	studying
kar û gure	stuff
cazîbedar	stunning
gêj	stupid
terz	style
babete	subject
pêşnîyaze, pêşkêş, vileçewtîye	submission
cirusnayene	submit
made	substance
cagir	substitute
narîn	subtle
ser kewtene	succeed
serkewtiş	success
serkewte	successful
winasî	such
sey	such as
lîtene	suck
xafil de	sudden
xafil de	suddenly
dej antene	suffer
cewr	suffering
bes	sufficient
şeker	sugar
pêşnîyaz kerdene	suggest
pêşnîyaze	suggestion
ro ci ameyene	suit
qatlix	suit
munasib	suitable
valîze	suitcase
kome	sum
kilmnus	summary
hamnan	summer
gil	summit
roj	sun
tîje	sun
yewşeme	sunday
tîje	sunny
koroşîyayîşê tîje	sunset
tîje	sunshine
super	super
rindêr	superior
serek	superior
teftîşker	supervisor
şamî	supper
tedarik	supply
tedarik kerdene	supply
paştî dayene	support
paştîdayîş	support
bawer kerdene	suppose
ferzkerde	supposed
emîn	sure
rîverîye	surface
zêdîyayene	surge
emelîyet	surgery
peyname	surname
surprîz	surprise
surprîzbîyaye	surprised
teslîm bîyene	surrender
dorme de	surrounding
nezaret	surveillance
cigêrayîş	survey
cigêrayîş kerdene	survey
weş mendene	survive
verguman	suspect
guman kerdene	suspect
vindarnaye	suspended
gumandar	suspicious
domnayene	sustain
dewambarîye	sustainability
dewambar	sustainable
talan	swag
raqulotnayene	swallow
pêvurîn	swap
sond werdene	swear
ereq dayene	sweat
fanîla	sweater
derutene	sweep
şîrin	sweet
şewa to sivike bo	sweet dreams
şîranîhes	sweet tooth
waştîye	sweetheart
masayene	swell
masayîş	swelling
asnawe kerdene	swim
ajnekerdiş	swimming
hêlaneke	swing
raşanayene	swing
ravurnayene	switch
ravurnayîş	switch
masaye	swollen
şimşêr	sword
nîşan	symbol
sempatî	sympathy
nîşaneyî	symptoms
pergale	system
masa	table
mucadele kerdene	tackle
etîket kerdene	tag
doçik	tail
girewtene	take
berdene	take away
qayîtê xo be	take care
vetene	take off
gêrîya	taken
qisey kerdene	talk
qiseykerdiş	talk
fekbaz	talkative
derg	tall
çirre	tap
tiknayene	tap
qeyd kerdene	tape
qeyd	tape
hedef	target
hedef kerdene	target
wezîfe	task
tehm	taste
tehm kerdene	taste
tehmweş	tasty
ame musnayene	taught
çay	tea
musnayene	teach
mamosta	teacher
taxim	team
hesire	tear
hesirî	tears
pê tinaz kerdene	tease
teknolojî	technology
didanî	teeth
vatene	tell
mi ra vaje	tell me
cigir	temper
germîye	temperature
îbadetxane	temple
qaşik	temple
demkî	temporary
des hezar	ten
des hezar	ten thousand
kîradar	tenant
meyl kerdene	tend
meyl	tendency
pixok	tender
dem	tense
nerehetîye	tension
çadire	tent
neqetî	tentative
termîn	term
termî	terms
şertî	terms
berbad	terrible
harîka	terrific
herême	territory
ezmûn kerdene	test
ezmûn	test
metn	text
ra	than
sipas	thank
weş be	thank you
keremê xo ra sebir bike	Thank you for your patience while we investigate shipment
Ma ro kargoyî gêrenîme	Thank you for your patience while we investigate shipment
zaf sipas	thank you so much
zaf sipas to rê	thank you very much
sipas	thanks
Seba ke appê ma xebitna, weş be	Thanks for using our app
o	that
yanî	that is
no rind o	that's good
tirawitiş	theft
yê înan	their
înan	them
babete	theme
bi xo	themselves
o wext	then
teorî	theory
uca	there
est ê	there are
est o	there is
coka	therefore
nê	these
ê	they
ê yê	they are
qalind	thick
dizd	thief
çîp	thigh
barî	thin
çî	thing
çî-mî	things
fikirîyayene	think
hîrêyin	third
têşan	thirsty
hîrês	thirteen
hîris	thirty
no	this
no yo	this is
tîtîz	thorough
temamen	thoroughly
dergûdila	thoroughly
ê	those
herçiqas	though
fikirîyayene	thought
fikr	thought
fehmdar	thoughtful
fikrî	thoughts
hezar	thousand
tehdîd	thread
la	thread
tehluke	threat
tehdîd kerdene	threaten
hîrê	three
şêmûge	threshold
heyecandar	thrilled
aver şîyene	thrive
qirike	throat
pê	through
seranser	throughout
eştene	throw
bêçika pîle	thumb
gurrayîşê hewran	thunder
Pancşeme	Thursday
coka	thus
nîşan	tick
tiknayene	tick
meddûcezîr	tide
biserûber	tidy
girê dayene	tie
kravate	tie
piling	tiger
teng	tight
Tîgrînya	Tigrinya
dem	time
şermokin	timid
hurdîkek	tiny
sere	tip
îma	tip
îmayî	tips
bexşîşî	tips
goger	tire
qefelîyaye	tired
qumaş	tissue
destmale	tissue
sernuşte	title
bîyene	to be
tost	toast
ewro	today
tute	toddler
bêçikê lingan	toes
pîya	together
destawxane	toilet
vat	told
tolerans	tolerance
tehemul kerdene	tolerate
tomatêse	tomato
meşte	tomorrow
ziwan	tongue
emşo	tonight
zî	too
girewt	took
hacete	tool
hacetî	tools
didan	tooth
ser	top
babete	topic
dirîyaye	torn
îşkence	torture
pêro pîya	total
dest pira nayene	touch
pêt	tough
çetin	tough
tur	tour
ver bi	toward
ver bi	towards
xewlîye	towel
bajar	town
toksîk	toxic
rêçe	trace
kamyone	track
bazirganîye kerdene	trade
bazirganîye	trade
tradîsyon	tradition
urf û adetî	traditional
trafîk	traffic
taqîb kerdene	trail
rêçe	trail
trêne	train
temrînkerdiş	training
taybetî	trait
xususîyetî	traits
transfer	transfer
vîyartiş	transition
vurîyayîş	transition
çarnayene	translate
transparan	transparent
neql kerdene	transport
neqlîye	transportation
dame	trap
qirş	trash
trawna	trauma
raywanîye kerdene	travel
tepsî	tray
xezîne	treasure
muamele kerdene	treat
muamele	treatment
dare	tree
zaf girs	tremendous
moda	trend
ceribnayîş	trial
hîle	trick
ceribnaye	tried
sebeb bîyene	trigger
linga tifingî	trigger
qesnayene	trim
raywanîye	trip
bela	trouble
pantolî	trousers
kamyone	truck
raşt	true
bagaj	trunk
îtîbar ardene	trust
îtîbar	trust
raştîye	truth
ceribnayene	try
Tsonga	Tsonga
lulî	tube
Sêşeme	Tuesday
xercê mektebî	tuition
kerga şamî	turkey
zerdeçal	turmeric
dore	turn
kesa	turtle
malimo taybetî	tutor
diwês	twelve
vîst	twenty
vîst û yew	twenty-one
Twî	Twi
di reyî	twice
deardiş	twist
di	two
tewir	type
tîpîk	typical
qefçil	ugly
tewr peyên	ultimate
sîwane	umbrella
nêşeno	unable
ap	uncle
bêhiş	unconscious
bin de	under
bin de	underneath
şenikkerde	underrated
fehm kerdene	understand
fehm kerd	understood
çi heyf ke	unfortunately
unîforma	uniform
yewek	unique
unîte	unit
unîversîte	university
nêzanaye	unknown
oxro ke	unless
heta	until
îstîsnayî	unusual
veracor	up
ti zanî	up to you
aktuelkerdiş	update
aktuel kerdene	update
başêrkerdiş	upgrade
başêr kerdene	upgrade
ser o	upon
xemgîn	upset
şaristanî	urban
zor dayene	urge
hewes	urge
lezabez	urgent
ma	us
xebitnayîş	use
xebitnayene	use
xebitnaye	used
musaye	used
feydedar	useful
bêfeyde	useless
normal	usual
normal de	usually
havildarîye	utility
betlane	vacation
vaksîn	vaccination
derzîne	vaccine
sipitene	vacuum
nezelal	vague
vîyartbar	valid
newale	valley
erjaye	valuable
erje	value
erjnayene	value
tewir	variety
tewir-tewir	various
vurîyayene	vary
vazo	vase
girs	vast
tarrûtur	vegetable
sebzeyî	vegetables
wesyît	vehicle
rotox	vendor
jehr	venom
teşebus	venture
cayê hedîseyî	venue
tesdîq kerdene	verify
zafhetin	versatile
versîyon	version
tîkane	vertical
zaf	very
zaf weş	very good
keştîye	vessel
pê	via
enerjî	vibe
enerjî	vibes
zerardar	vicious
nîyetxirab	vicious
mexdur	victim
vîdeo	video
menzere	view
dewe	village
xayîn	villain
xirab	villain
sîrke	vinegar
kan	vintage
şîdet	violence
bişîdet	violent
vîral	viral
bakîre	virgin
vîrtuel	virtual
fezîlet	virtue
vîn	vision
şîyene dîyarî	visit
zîyaret	visit
dîyayîşkî	visual
heyatî	vital
ganî	vivid
xezîna çekuyan	vocabulary
veng	voice
vengane	void
hecm	volume
berzîya vengî	volume
zerrîwaz	volunteer
viritene	vomit
hesas	vulnerable
destmiz	wage
meaşî	wages
mîyane	waist
pîtene	wait
garson	waiter
pîtiş	waiting
hişyar	wake
hişyar bîyene	wake up
rayraşîyayîş	walk
raye ra şîyene	walk
şîyayox	walking
dês	wall
cizdan	wallet
fetilîyayene	wander
waştene	want
waşte	wanted
ceng	war
dolaba kincan	wardrobe
embar	warehouse
germ kerdene	warm
germ	warm
baldar kerdene	warn
îxtar	warning
lejker	warrior
bî	was
şutene	wash
îsraf kerdene	waste
îsraf	waste
temaşe kerdene	watch
saete	watch
awe	water
zebeşe	watermelon
pêl	wave
rayîr	way
ma	we
ma yîme	we are
ma eşkenîme	we can
bêhêz	weak
bêhêzîye	weakness
dewlemendîye	wealth
dewletî	wealthy
pira girewtene	wear
pay keno	wearing
hewa	weather
veyve	wedding
Çarşeme	Wednesday
gonce	weed
hewte	week
peynîya hewteyî	weekend
giranîye	weight
bar pira kerdene	weight
terre-turre	weird
çiman ser	welcome
ti bixeyr ameyî	welcome
bextewarîye	welfare
Yanî	Well
aferîn	well done
şî	went
bîyî	were
rojawan	west
hît	wet
balîna	whale
çi	what
ma ti	what about you
ti se kenî	what are you doing
ti nika se kenî	what are you doing now
ti nika se kenî	what are you doing right now
ti se kenî	what do you do
ti çi kar kena	what do you do for a living
qesdê to çi yo	what do you mean
ti çi wazenî	what do you want
se bî	what happened
çi yo	what is
no çi yo	what is this
karê to çi yo?	what is your job
nameyê to çi yo	what is your name
çi çin o	what's up
çi est o	what's up
nameyê to çi yo	what's your name
çi beno wa bibo	whatever
her çi	whatever
genim	wheat
goger	wheel
key	when
çi wext ke	whenever
kotî	where
ti kotî yî	where are you
ti kotî ra yî	where are you from
ti nika kotî der a	where are you now
ti kotî de ciwîyena	where do you live
kotî yo	where is
ti nêvanê ke	whereas
eke	whether
kamcîn	which
wexto ke	while
pispisnayene	whisper
fîtnayene	whistle
sipî	white
kam	who
ti kam î	who are you
kam o	who is
no kam o	who is this
pêro	whole
kamî	whom
yê kamî	whose
çira	why
çira ney	why not
xirabin	wicked
hîra	wide
vîyaye	widow
hîrayîye	width
cinî	wife
kovî	wild
waştene	will
îrade	will
zerrîwaz	willing
qezenc kerdene	win
va	wind
pencera	window
va	windy
şerab	wine
zimistan	winter
esteritene	wipe
têl	wire
aqildarîye	wisdom
aqildar	wise
hêvîye	wish
hêvî kerdene	wish
her çîyê to bixeyr bo	wish you all the best
cazuye	witch
bi	with
weancîyayene	withdraw
peyserantiş	withdrawal
zere de	within
bê	without
şahîd bîyene	witness
şahîd	witness
hazircewab	witty
verg	wolf
cinî	woman
cinîkî	women
qezenc kerdene	won
meraq kerdene	wonder
zaf weş	wonderful
texte	wood
pirç	wool
çekuye	word
çekuyî	words
kar kerdene	work
kar	work
antreman kerdene	work out
gureyeno	working
dinya	world
kerm	worm
werîyaye	worn
biqesawet	worried
efkar kerdene	worry
xirabêr	worse
îbadet kerdene	worship
tewr xirabin	worst
erje	worth
erjeno	worth it
biqîymet	worthy
birîne	wound
Waw	Wow
pîştene	wrap
xezeb	wrath
zende	wrist
nuştene	write
Tîya binuse	Write here
nuşte	writing
nuseno	writing
nuşte	written
xelet	wrong
nuşt	wrote
hewşe	yard
bawişke	yawn
bawişkanê xo weardene	yawn
Ya	Yeah
serre	year
serrî	years
mîraz	yeast
amên	yeast
zirçayene	yell
zerd	yellow
Heya	Yes
heya lê	yes baby
heya heyran	yes dear
heya caniko	yes honey
heya delala mi	yes my love
heya tabî	yes of course
vizêr	yesterday
hema	yet
ber dayene	yield
ti	you
ti ya	you are
ti rindek a	you are beautiful
ti zaf rindek a	you are so beautiful
çiman ser	you are welcome
ti eşkena	you can
Ti zana	You know
ti zî	you too
çiman ser	you're welcome
ciwan	young
yê to	your
çiman ser	your welcome
bi xo	yourself
ciwanî	youth
çiman ser	you’re welcome
weş	yummy
Kirmanckî	Zaza
Dimilî	Zaza
Kirdkî	Zaza
sifir	zero
