ałtsʼíísí	a little
nizhónígo neeʼooʼááł  dooleeł	have a good day
nizhónígo neeʼaʼdooʼááł	have a nice day
abínígo yidánígíí łaʼ niyą́	have breakfast
niłhoneenih	have fun
daʼ ííníyą́ą́?	have you eaten
hwee hólǫ́	having
bááhadzid	hazard
áhí	haze
bí	he
bí éí	he has
bí éí	he is
atsiitsʼiin  as in body part	head
atsiitsʼiin diniih	headache
atsiitsʼiin neezgai	headache
nádziih	heal
nádziihgo	healing
atsʼíístah ahootʼéhígíí	health
atsʼíístah yáʼáhootʼééh	healthy
azhdiitsʼaʼ	hear
azhdiiztʼą́ą́ʼ	heard
ajéí	heart
deesdoi	heat
honeezgai	heat
yáʼąąsh	heaven
nidaaz	heavy
tʼáá naʼnileʼdii	hectic
dego anilnééz	height
diné háíshį́į́ kéyah baa daatʼaahígíí	heir
anitʼį́į́ʼ	heist
iiltsood	held
wótąʼ	held
chʼį́įdiitah	hell
yaʼátʼééh	Hello
yaʼátʼééh, awééʼ	hello dear
yaʼátʼééh, haash nítʼé?	hello how are you
yaʼátʼééh, haanítʼé?	hello how are you doing
chʼah	helmet
ákaʼeʼeyeed	help
ákaʼanálwoʼ	helpful
akotéego	hence
bí	her
naakai	herd
kǫ́ǫ́h	here
óʼoolʼįįł	heritage
bichʼįʼ neʼjilį́	hesitate
Shooh	Hey
Yaʼátʼééh	Hi
yaʼátʼééh, haash nítʼé?	hi how are you
yaʼátʼééh	Hi there
nanilin	hidden
nanitʼin	hide
nanilʼin	hide
ádíhólnííh	hierarchy
atisgo nitsáhákees	hierarchy
hódah	high
yitʼínígíí	highlight
nahgóó nijigháh	hike
nahgóó taʼdidááh	hiking
yéego baa dloh hasingo	hilarious
dah yiskʼid	hill
bí	him
tʼóó kʼasdą́ą́ʼ baa chʼíhootʼánígíí	hint
awoozhnííʼ	hip
atłʼaakááʼ	hips
ahoʼdooltʼeʼ	hire
naanish biniiyé ahoʼdiltʼeʼ	hiring
bí	his
nátʼą́ą́ʼ náháneʼ	history
nidooltsʼin	hit
hmmm	Hmm
bízhneedlį́įgo ájiłʼínígíí	hobby
wotąʼ	hold
ałtsé shooh	hold on
ahoodzą́h	hole
tʼáá haʼátʼííshį́į́ binahjįʼ bił nídahootʼaahígíí	holiday
biiʼhooltsʼaaʼ	hollow
hooghan	home
hooghandi naanish alʼínígíí	homework
tʼáá aníí haneʼ	honest
tʼáá anii áhaʼníigo	honestly
niłtsá bitłʼizh Achʼooníh	Honey
baa haʼniih	honor
bee bééhoʼdilzin	honor
chʼah naatsʼǫǫdí	hood
bee náʼiilzhahí	hook
nikíhizhdighą́ą́h	hop
siih hodinidzin	hope
hajoobaʼ áhwiinidzin	hopefully
doo hasxihjįʼ da	hopeless
neʼgóó naaniigo	horizontal
adeeʼ	horn
baaʼih	horrible
yéego bááhadzid	horror
łį́į́ʼ	horse
azeeʼ ílʼį́ hotsaa	hospital
aaʼáhayą́	hospitality
diné hasʼánígíí	host
tʼáá atíʼdoolíiłgo naagháh	hostile
sidoh deesdoi  hot weather	hot
tséskʼeh báhooghan	hotel
ałhééʼilkid	hour
ałhxééʼiilkeed	hours
kin	house
hooghan hazʼą́ągi	household
Haash yitʼéego?	how
Haitʼéego?	how
nishąʼ?	how about you
haash yindzaa?	how are you
haash nítʼé?	how are you
Haash nítʼé?	how are you doing
Nitah haash hootʼé?	how are you doing
díí jį́h haash nítʼé?	how are you doing today
díí jį́h haanítʼé?	how are you doing today
díí jį́h haash nítʼé?	how are you today
haʼátʼíish baa nininá?	how do you do
haitʼéego?	how is
dikwííh?	how many
dikwííh bą́ą́h alį́?	how much
haanéeltʼeʼ?	how much
hahgo shąʼ?	how often
dikwíí ninááhai?	how old are you
dikwíish ninááhai?	how old are you
díí jį́h haitʼéego nee iʼííʼą́h?	how was your day
haitʼéego niiską́h?	how was your night
akotʼée nidi	however
chidí bikeeʼ yee náálwołígíí	hub
achʼooníh	hubby
adiʼiiltsood	hug
nitsxaaz	huge
bilaʼashdlaʼii	human
hozhdisin	humble
deesdoi	humid
deesdoi	humidity
neeznádiin	hundred
dichin hasin	hungry
naʼalzheeh	hunt
níyoltsoh	hurricane
tsxį́įłgo	hurry
tsxį́įłgo	hurry up
neezgai	hurt
ahastiin	husband
tsxį́įłgo	hustle
shashoh	hut
tʼáá hó jizínígi ádaaʼáhayą́	hygiene
shí	I
shí éí	I am
doo aníshtʼéhí da	I am fine
shitah yáʼáhootʼééh	I am fine
shí éí	I can
shí éí	I can't
shí éí	I do
doo shił bééhozin da	I do not know
doo bikʼiʼdiishtįįh da	I do not understand
shí éí nida	I don't
doo shił bééhozin da	I don't know
doo bikʼiʼdiishtįįh da	I don't understand
tʼáá bidinánígíí doo bikʼiʼdiishtįįh da	I don't understand what you mean
doo nikʼiʼdiishtįįh da	I don't understand you
doo shił bééhozin da	I don’t know
doo bikʼiʼdiishtįįh da	I don’t understand
shí íiniizį́į́	i guess
shí éí	I had
shí éí	I have
shí éí	I have been
tʼáá shǫǫd yę́ę	I hope so
shił bééhozin	I know
shił yáʼátʼééh	I like
shił nizhóní	I like
shił yáʼánitʼééh	I like you
ayóo shił yáʼátʼééh	I love
ayóóʼíínishníh	I love
shinaaí ayóóʼíínishníh	I love my big brother
shádí ayóóʼíínishníh	I love my big sister
shizheʼé ayóóʼíínishníh	I love my father
shitsilí ayóóʼíínishníh	I love my little brother
shideezhí ayóóʼíínishníh	I love my little sister
shimá ayóóʼíínishníh	I love my mother
Ayóóʼaníínishníh	I love you
nizhónígo yáʼátʼéehgo naanitséskees	I love you
yéego ayóóʼíínishní	I love you so much
shí ałdóʼ ayóóʼaníínishníh	I love you too
shí tʼáá dishnígíí éí	I mean
náhásááh	I miss you
ayóo náhásááh	I miss you so much
yishį́h	I see
baa nitséskeesígíí	I think
bikʼiʼdiishtiih	I understand
nisin	I want
niideestsééł nisin	I want to see you
nininzin	I want you
shí éí	I was
shí éí	I will
shí éí	I would be
shí éí	I'm
shitah yáʼáhootʼééh	I'm fine
yaʼanishtʼééh	I'm good
shí kǫ́ǫ́h	I'm here
tin	ice
abeʼ yistiní	ice cream
tʼáá haʼátʼííshį́į́ baa nitsáhaskézígíí	idea
bohónéedzą́h	ideal
yéego nizhóní	ideal
tʼáá ałhxeeltʼé	identical
ééhoozį́į́h	identify
bee ééhozinígíí	identity
diigis	idiot
tʼáá bí yilwoł	idle
doo ádízhdeeltiʼ da	ignore
atah hodiniih	ill
tsʼíís niidóóh	ill
doo bee hazʼą́ą da	illegal
atah honiigááh	illness
naʼashchʼąąʼígíí	image
baa nitsáhákees	imagine
tsxį́įłgo	immediate
tʼáá áko tsxį́įłgo	immediately
nitsxaaz	immense
bideetʼiʼ	impact
ádahozhdeeláago	impatient
bee adoonishígíí	implement
tʼáá haʼátʼííshį́į́ yah iigeeh	import
yéego bóholnííh	important
tʼáadoo nidziní nidi hachʼįʼ biʼilniiʼgo	impose
doo bíighah da	impossible
hwił nizhónígo	impress
bee ííshjání azhdilnééh	impression
bee ííshjání ázhdiilyaaígíí	impression
yéego nizhóní	impressive
nizhónígo bee náás jideeyáago	improve
nizhónígo éʼélnééh	improvement
góne	in
bínáánáaʼnilgo	in addition
jó díigi átʼé	In fact
bidáahgi	in front of
bee ajilééh	in order to
doo yáʼátʼéeh da	inappropriate
tʼáá haʼátʼííshį́į́ azhdoolíiłgo binahjįʼ haʼdoodiłígíí	incentive
haashį́į́ hoodzaaígíí	incident
booltąʼ	include
bóóltąʼ	including
naanish bitsʼą́ą́dóó béeso ajiłʼínígíí	income
doo tʼáá ałtsohjįʼ bíighah da	inconvenience
łąʼí silį́į́ʼ	increase
dego kódzaa	increased
doo lá dóʼ nizhóní da	incredible
tʼáá aníí	indeed
tʼáá sáhí atʼį́	independent
bee ííshjání alyaaígíí	indicate
bitsįʼ yishtłizhii	indigenous
łaʼ jizį́h	individual
tʼáá haʼátʼííshį́į́ álʼį́įgo bił hazʼánígíí	industry
bitsʼąą áhatʼį́į nidi tʼáá ahotʼįįhígíí	inevitable
awééʼ	infant
łóód silį́į́ʼ	infection
doo ninítʼiʼ da	infinity
tʼáá niléígóó náás hoolzhish	infinity
atsʼíískááʼgóó neezgaigo nidanichaad	inflammation
tʼáadooleʼé ayóo daʼilį́ daaleehgo	inflation
ajitʼéhígíí	influence
bee ił haneʼ	inform
bee baa haneʼí	information
chʼiyáán bił alnéhígíí	ingredients
bił tʼáá haʼátʼííshį́į́ alnéhígíí	ingredients
hachʼįʼ biʼilniiʼígíí	inheritance
hólónígíí	initial
habiilyeedígíí	initiative
deeznih	injured
jideeznih	injured
jideeznih	injury
doo bohodiitʼiʼ da	innocent
ałkééʼ nináʼiʼnííł	innovation
bee baa haneʼí binaʼídikid	inquiry
doo yáʼátʼééhgóó nitsékees	insane
chʼosh	insect
doo adéíjódlíígóó	insecure
biih yitʼaah	insert
bikátʼah iitʼaah	insert
honeʼí	inside
jinéłʼį́įgo baa nitsáhákees	insight
ajinínígíí	insist
chʼééh ajiiłhxáásh	insomnia
hwee haʼahoníh	inspiration
saad yáʼátʼéhígíí bee yátiʼ	inspire
tʼáá haʼátʼííshį́į́ biih yiʼnííł	install
tʼáá hooshchʼįʼ ádzaa	instance
tsxį́įłgo	instant
nidago	instead
díigo shąʼ	instead of
bikʼeh ádahodooníłígíí	instructions
dilníh	instrument
saad bikʼeʼashchʼíʼígíí bee diné bichʼįʼ yátiʼ	insult
béeso áchʼą́ą́h naaʼnil	insurance
yótąʼ	intact
béshjééʼ	intact
bee jizínígíí	integrity
tʼáá ałtsohjįʼ baaʼákozhnízingo	intellectual
hwił ééhozin	intelligence
tʼáadoo hodinaʼí akʼiʼdiitįįh	intelligent
tʼáá ákonéehgo	intend
tʼáá ákóhwiinidzingo	intend
tʼáá akonéehgo	intended
niłdzil	intense
hwiinidzin	intention
ałhxił naʼaldeeh	interact
ałnádaʼooztiin	interaction
bóhoneedlį́	interest
bízhneesdliid	interested
bóhoneedlį́h	interesting
ataʼ ajiiyáago	interfere
bitaʼgi átʼéhígíí	intermediate
bitaʼgi hazʼánígíí	intermediate
biyiʼdę́ę́ʼ	internal
tʼáá náhwiizʼą́ nítʼę́ę́ʼ	international
naanish bee óhooʼaah	internship
ataʼ haneʼ	interpret
ataʼ halneʼí	interpreter
dineeskai	interrupt
naanish biniiyé nahódikidígíí	interview
yáʼátʼéehgo ałhxaah nitsáhákees	intimate
biyijįʼ	into
adééhoolzįįh	introduce
adééhojoołzįįh	introduction
yázhnizin	introvert
tʼáadoo hodinaʼí akʼizhdiitįįh	intuition
doo ílį́į da	invalid
tʼáá haʼátʼííshį́į́ hazhdiilaago	invent
tʼáá haʼátʼííshį́į́ ájiilaago	invent
tʼáadooleʼé hólónígíí nááhedzóóh	inventory
béeso ádoolnííł biniiyé tʼáá haʼátʼííshį́į́ nahaniih	invest
naʼalkaah	investigate
nihaadíínááł haʼnígíí	invitation
hagoh boʼdiʼniihgo	invite
bikʼehgo achʼįʼ naʼilyéhígíí	invoice
atah jilį́h	involve
bee atah jilį́	involved
béésh	iron
éí	is
tó siyínígíí ałníiʼgi kéyah dah sikánígíí	island
tʼáá sahdii sidá	isolated
ináhootʼiʼ	issue
bee anídahaztʼiʼígíí	issues
tʼáá eii	it is
nítʼę́ę́ʼ	it was
eii	it's
tʼáá bíighah	it's ok
tʼáá bíighah	It's okay
tʼáadooleʼé	item
tʼáadooleʼé	items
shí	I’m
ééʼtsoh	jacket
awáaliya	jail
Yas Niłtʼees	January
tózis	jar
ayaatsʼiin	jaw
oochxį́į́d	jealous
diigis	jerk
yooʼ	jewelry
naanish	job
joowoł	jogging
bee atah jighááh	join
ałhadaditʼánígíí	joint
haneʼ baa dloh hasinígíí	joke
naaltsoos haneʼ yee heidiłíní	journalist
jooghálígíí	journey
ił hózhǫ́	joy
ánihwiiʼaahii aanitsáhákees	judge
chʼil bitooʼ	juice
Yaʼiishjááshtsoh	july
dah neeshjį́į́d	jump
Yaʼiishjááshchilí	june
bíighahí	junk
tʼóó anilééh	just do it
tʼáá haʼátʼííshį́į́ há baa nitsáhákeesgo	justice
bééhoozį́į́h	justify
íiyisíí átʼéego	keen
tʼáá niniʼáh	keep
nááná dooleeł	keep it up
hwííʼ silį́įʼ	kept
jaaʼí	kettle
bee ąąníditínį́	key
jiztał	kick
nooséłí	kid
dloh hodichííd	kidding
achą́ʼashkʼazhí	kidney
áłchíní	kids
silyé	kill
haʼáhwiinítʼį́	kind
ákotʼééshį́į́	kinda
haʼahwiinítʼį́į́ʼ	kindly
haʼahwiinítʼį́	kindness
naatʼáanii	king
aditsʼǫs	kiss
ajiztsʼǫs	kiss
chʼiyáán alʼíní góneʼ	kitchen
naaltsoos naatʼaʼí	kite
naaltaʼí	kite
másí yázhí	kitten
agod	knee
hwi bééhozin	knew
béésh	knife
béésh ééʼ	knight
ił bééhozin	know
ił ééhozinígíí	knowledge
bééhozinii	known
atʼéhígíí bikááʼ	label
yéego naʼanish	labor
yéego naʼanish	labour
tʼáá biʼoh	lack
haazéí	ladder
asdzání	lady
neʼ niilyáago	laid
tó dah siyánígíí	lake
dibé yázhí	lamb
doo bóhoneedlį́į da	lame
kǫʼ diltłiʼí	lamp
kéyah	land
kéyah hazʼą́ądi	landscape
kéyah hazʼą́ągi	landscape
saad	language
atéelgi	lap
nitsxaaz	large
akéedi	last
akéedi yízhí	last name
doo hah da	late
tʼáh nítʼę́ę́ʼ	lately
tʼáá ániidígo	lately
tʼáá hahgo shį́į́	later
aniidígíí	latest
ałchʼįʼ kónálnééh bichʼįʼ hoolzhish	latter
dloh	laugh
dloh hasin	laughing
dloh	laughter
dah yiiteʼ	launch
ééʼ daʼiigis	laundry
bee hazʼáanii	law
tłʼoh	lawn
aghaʼdiitʼaahii	lawyer
jiztį́	lay
ałkʼihníkaad	layer
neʼgóó niiʼniłgo	layout
ił hóyééʼ	lazy
aléą́jįʼ oodááł	lead
diné ałąąjįʼ yigáłígíí	leader
naatʼáanii	leader
atʼą́ą́ʼ	leaf
bighánilį́h	leak
naanii astíh	lean
tʼáá hódahgo dah yiiteʼ	leap
bóhooʼąąʼ	learn
óhooʼaah	learning
aʼítʼaah	lease
aʼoh	least
akał	leather
atʼą́ą́ʼ	leaves
ajooʼish	led
ajoolóós	led
nishtłʼahjí  as in the left side	left
ajáád	leg
bikʼehgo bee ééhoniihígíí	legacy
bee hazʼáanii binahjįʼ bee lą́	legal
ałkʼidą́ą́ʼ haneʼ	legend
bohónéedzą́h	legit
yéego nizhóní	legit
bee atah yáʼáhootʼéhígíí	leisure
aʼíléh	lend
aʼínil	lend
aniłnééz	length
biʼoh	less
binahjįʼ óhwiidooʼáłígíí	lesson
naaltsoos ilyaaí	letter
chʼił dootłʼizhí	lettuce
nidahazʼánígíí	level
tʼáá haʼátʼííshį́į́ bee wótąʼígíí	leverage
bee hazʼáanii bikʼehgo hódeetʼiʼígíí	liability
naaltsoos wóltaʼí báhooghan	library
jiłnaad	lick
ayoochʼííd	lie
yoochʼííd	lies
iiná	life
nídiitʼaah	lift
adinídíín aszóólí	light
niʼdeezdínígíí	lightning
akotʼéego	likely
nilá ałdóʼ neʼ	likewise
ídzoh	line
béésh daʼaholzhaʼí	link
náshdóí bitsiiʼ ditłʼohígíí	lion
tó	liquid
tʼáadooleʼé nááhéesdzooígíí	list
ajíitsʼą́ą́ʼ	listen
ajíistsʼą́ą́ʼ	listening
tʼáá awołíbee	literally
naaltsoos wóltaʼígíí	literature
tsxiilzéí	litter
ałtsʼíísí	little
kééhatʼį́	live
ajéí yilzólii	liver
iiná	lives
hiiná	living
hooghan biyiʼ hazʼánígíí	living room
naʼashǫ́ʼiiłbáhí	lizard
hxééł	load
bááh	loaf
tʼáá haʼátʼííshį́į́ aʼilyáago	loan
béeso aʼini	loan
tʼáá ákweʼé hazʼánígi	local
tʼáá ákweʼé hazʼánídi	local
háadi hazʼánígíí	location
haaʼígi hazʼánígíí	location
ałdah nátʼáá bee daʼniʼdilkałígíí	lock
dádaʼdeeskaal	lockdown
tsin	log
dloh	lol
tʼáá sáhí naʼadáh	lonely
nineez	long
hádą́ą́ʼ shį́į́ tʼáá neeshʼį́į́ nítʼę́ę́ʼ	long time no see
níníłʼį́h	look
náhazbąsgo ahééhonitʼiʼ	loop
doo niłdzil da	loose
diyin	lord
yóóʼádzaa	lose
yóóʼaʼjiłdiłgo	loss
yóóʼaaltsʼid	lost
ayóí íitsʼaʼ	loud
dah naʼíistání góneʼ	lounge
ayóóʼóʼóníh	love
ayóóʼáníínishníh	love you
nizhóní	lovely
hoyahgo	low
hoyahdi	lower
hoyahgo yaa kólnééh	lower
doo honaʼadloʼ da	loyal
doo yoochʼííd bił nijigháágóó	loyalty
akʼihojidlíh	luck
akʼihojidlíh	lucky
hééł	luggage
hadzííʼáh	lump
ałníʼníʼą́ągo yistʼéí	lunch
ałníʼníʼą́ągo chʼiyáán yidánígíí	lunch
ajéí yilzólii	lungs
hózhǫ́ʼ	luxury
biyoochʼííd	lying
bee naʼanishí	machine
áhachxįʼ	mad
asdzání	madam
ályaa	made
naaltsoos wóltaʼí atseezį́h yaa halneʼí	magazine
naaltsoos wóltaʼí	magazine
tʼáá íiyisíí nizhóní	magnificent
hashtʼehósiní	maid
íiyisígíí	main
binináʼanish	maintain
binidaʼanishí	maintenance
tʼáá íiyisíí	major
kʼasdą́ą́ʼ tʼáá átʼé	majority
alnééh	make
anilééh	make
bee áʼdilzhǫǫhí	make up
bikąʼ	male
naalyéhí bádahooghan	mall
diné	man
hastiin	man
binaʼanishígíí	manage
tʼáá haʼátʼííshį́į́ bikʼih adéestʼį́įgo binaʼanish	management
naanish yikʼih déezʼį́ʼį́	manager
tʼáá íiyidíí bee hazʼą́	mandatory
tʼáá ííshjání yitʼį́	manifest
tʼáadooleʼé jinízinígi átʼéego nijiinilgo	manipulate
haʼátʼeʼ	manner
bikʼehgo nidaʼanishí	manual
ląʼí da	many
ił hózhǫ́ bee náásgóó nááholzhish dooleeł	many many happy returns of the day
jinítʼiʼgo ałkééʼ oldah	march
bíighahjígo hazʼánígíí	margin
nidaʼiiniih bił nídahootʼaahígíí	market
agééh	marriage
asgeh	married
aniikʼééditʼáhí	mask
aniłtsooígíí	mass
nitsxaaz	massive
bilá jiiyáago	master
ałhxeełtʼéego alnééh	match
bił naʼatʼaashí	mate
bił nijiʼaashígíí	mate
naatʼą́hí	material
ałhídaʼayiidzóóh	math
hoyáanii	maturity
daatsʼí	maybe
shąʼshin	maybe
shí	me
shí ałdóʼ	me too
chʼiyáán doodíłígíí	meal
tʼáá haʼnínígíí	mean
tʼáá haʼnínígíí	meaning
tʼáá haʼnínígíí	means
tʼáá haʼnínígíí	meant
tʼáá ałhxííshghah áhoonííł	meanwhile
bíʼneelʼąąh	measure
bízhneełʼąąh	measures
atsįʼ	meat
atsʼíís nídanélʼįįh	medical
azeeʼ	medicine
ahodéesdzéelgo nitsíjikees	meditation
ałnííʼ góneʼ anitłsooígíí	medium
yaa níyáh	meet
ałah aleeh	meeting
dííłhxį́į́ʼ	melt
ééhaniih	memories
bééhaniih	memory
honitsáhákees	mental
bee haʼoodzííʼ	mention
baa haʼoodzį́į́ʼ	mentioned
naanish yá ééhozingo bił naʼanishí	mentor
tʼáadooleʼé nahaniihígíí	merchant
aahxą́ą́hwiinidzin	mercy
tʼéíyá	merely
Késhmish Baa Hózhǫ́	merry christmas
haʼoolʼáh	mess
haneʼ alyaaígíí	message
tʼóó hodichosh	messy
béésh	metal
tʼáá haashį́į́ yitʼéego alnéhígíí	method
naʼastsʼǫǫsí	mice
ałníigi	middle
ałníidi	middle
tłʼéʼííłnííʼ	midnight
daatsʼí	might
tʼáá hazhóóʼígo	mild
bitis nááʼdeesdzáh	milestone
silaołtsooí	military
abeʼ	milk
dimííltsoh	million
honitsékees	mind
nitsíjíkeesígíí	mindset
shí	mine
ałhxił naʼaldeeh	mingle
nooséłí	minor
dah alzhin	minute
dah alzhin	minutes
tʼáá haʼátʼííshį́į́ yáʼátʼéhígi áhootʼįįhgo	miracle
tsésǫʼ biyiʼ adizhnélʼínígíí	mirror
tʼáadooleʼé ałʼąą ádaatʼéhígíí	miscellaneous
hweʼadilááh	mischievous
doo hatah yáʼáhootʼéeh da	miserable
doo hwił haldingóó	misery
isdzih áhalzááh	miss
náhásááh	miss you
náhalzááh	miss you
báhalyááh	missing
naanish biká ahatʼínígíí	mission
shoh	mist
isdzih	mistake
naatʼáago	mobile
tʼóó aanáhátʼįh	mock
tʼóó aaʼoodloh	mock
binahjįʼ átʼéego nélʼínígíí	model
doo yéego átʼée da	moderate
kʼad hoolzhishígíí	modern
tʼáá háajįʼ shį́į́ bee hazʼánígíí	modest
ditłééʼ	moist
ditłééʼ	moisture
dláád	mold
łeʼatsoh	mole
amá	mom
haaʼíshį́į́ hoolzhishgo	moment
Damóo Biiskání	monday
béeso	money
yinaagháhígíí	monitor
mágí	monkey
nahidizídígíí	month
aʼátʼeʼ	mood
haʼátʼeʼ átʼéhígíí	moody
tłʼéhonaaʼáí	moon
binahjįʼ óhooʼaahígíí	moral
łaʼ nááná	more
łahgo anáánátʼéego	moreover
abiní	morning
hooghan bikʼéh naʼiilyéhígíí	mortgage
tʼáá átʼé	most
kʼadą́ą́ʼ tʼáá átʼé	mostly
amá	mother
nijiiʼnáago	motion
chanah jilį́	motivation
dził	mountain
naʼatsʼǫǫsí	mouse
azééʼ	mouth
nahaʼnáh	move
hidilnááh	movement
naalkidí	movie
asdzą́ą́	mrs
hashtłʼish	mud
bąąh haʼíizhahí	mug
adoh	muscle
tʼáadooleʼé danélʼį́h bił hazʼánídi	museum
dilníh	music
tʼáá íiyisíí	must
doo íitsʼaʼí da	mute
bee ałhaaʼákohwiinidzin	mutual
shi	my
sheʼawééʼ	My dear
shikʼis	my friend
shitáłkááʼ nidzitʼiiyí táłtłʼááh tłʼiizh biyiʼ haʼdeezbin	My hovercraft is full of eels
sheʼayóóʼóʼóníh	my love
shiʼchʼooníh	my love
íinishyéhígíí éí	my name is
shizhiʼ éí	my name is
shił bíighah	my pleasure
shił yáʼátʼééh	my pleasure
shí	myself
doo bééhozin da	mysterious
doo bééhozin da	mystery
haneʼ ádaalyaaígíí	myth
bee iłdaʼalkaałí	nail
tʼáadooleʼé doo hwił bééhozin da	naive
yizhí	name
halneʼí	narrative
áhoołtsʼóózí	narrow
baaʼih	nasty
kéyah nitsaago bił hahoodzooígíí	national
kéyah bił hahoodzoh naʼadáhídę́ę́ʼ	nationality
tʼáá íiyisíí tʼáá áádóó naʼadá	native
nahasdzáán biyiʼdóó hazlį́ʼígíí	natural
tłʼóógóó bee ahootʼéhígíí	nature
tłʼóógóó bee hahodítʼéhígíí	nature
nizhdikwiih	nausea
kwiih	nausea
Naabeehó	Navajo
Diné	Navajo
ayiidí	near
tʼáá ayíídígi	nearby
tʼáá ayiidí	nearby
kʼasdą́ą́ʼ	nearly
nizhóní	neat
nidzinígíí	necessary
akʼos	neck
yooʼ	necklace
nidzin	need
haʼátʼeʼ dah doo yáʼátʼééhgóógo	negative
doo hazhóʼó baaʼáhayą́ą da	neglect
baa nikʼíyátiʼ	negotiate
hanaagóó diné bił kééhojitʼínígíí	neighbor
diné hanaagóó dabighanígíí	neighborhood
doo łaʼ da	neither
shiyáázh  as in the girl saying it	nephew
shidaʼ  as in the boy saying it	nephew
shiyeʼ  as in the boy saying it	nephew
diné ayóo nitsékeesígíí	nerd
náhadzid	nervous
atʼoh	nest
naneesdizí	net
tʼáá ałtsohjįʼ bee oonish	network
doo ałtsázhdinidleʼgóó	neutral
tʼáhdoo da	never
doo tʼóó biʼjiłníih da	never give up
nichxǫ́ʼ shį́į́	never mind
nichǫʼ	nevermind
nidashį́į́	nevermind
azhą shį́į́ ákotʼée nidi	nevertheless
aniidí	new
haneʼ baa dahaneʼí	news
nááná ákoneʼ	next
bíighahdi	next to
bíighahgi	next to
yaʼátʼééh	nice
nizhóní	nice
yaʼátʼéehgo ałhxééhosiilzįįd	nice to meet you
shicheʼé shimá yázhí	niece
tłʼééʼ	night
nízhdiilgąązh	nightmare
nízhdiitłizh	nightmare
náhástʼéí	nine
náhástʼéítsʼáadah	nineteen
náhástʼédiin	ninety
dooda	No
nidigaʼ	No
doo bee nanitłʼaaí da	no problem
dooda	no way
doo hazʼą́ą da	no way
do háí da	nobody
hahóóʼáh	noise
hahóóʼáh	noisy
ádin	none
ałníʼniʼą́h	noon
dooda	nope
nidago	nor
tʼáá ákotée łeh	normal
náhookʼǫs	north
achį́į́h	nose
dooda dooleeł nítʼę́ę́ʼ hwiinidzingo	nostalgic
nidah	not
nidah	not at all
tʼáá yáʼátʼééh	not bad
kʼad éí nida	Not now
tʼáhdoo da	not yet
naaltsoos haneʼ bee ályaaígíí	note
haneʼ yisdzoh	noted
adin	nothing
baa ákohwiinidzin	notice
baaʼákohwiiniidzį́į́ʼ	noticed
tʼáádooleʼé naadeełii	noun
tʼáadooleʼé naadeełii dabizhiʼ	nouns
naaltsoos wóltaʼí	novel
Níłchʼihtsʼósí	november
kʼad	now
díí jį́įdi	nowadays
diné báhodoonihígíí	nuisance
doo ilį́į da	null
yitsxííʼ	numb
anéeltʼeʼígíí	number
azeeʼ neikáhí	nurse
neeshchʼííʼ	nut
chʼiyáán yáʼátʼéhígíí	nutrition
yazhdiilniiʼ	oath
ayóí áábid	obesity
bikʼeh hojilʼį́h	obey
tʼáádóoleʼé	object
bee ádáhojisʼánígíí	objective
doo áhwiinidzin da nidi bee hazʼánígíí	obligation
doo bééhozin da	obscure
haʼalzííd	observation
haalzííd	observe
adánoosnííʼ	obsessed
tʼáá íiyisíí jinízin	obsession
kʼad doo chooʼį́į da	obsolete
tʼáá haʼátʼííshį́į́ hachʼą́ą́h hólónígíí	obstacle
chóʼooztʼeʼ	obtain
nídiilyá	obtain
nízhdiilá	obtained
nídiilyá	obtained
tʼáá ííshjání átʼéhígíí	obvious
tʼáá ííshjání átʼéhígíí	obviously
łah da	occasionally
naanish	occupation
hanaanish hólǫ́ǫgo	occupied
ádzaa	occur
áhoodzaa	occur
ádzaago	occurred
adzaa	occurs
tóniteel	ocean
Ghąąjįʼ	october
haashį́į́ yitʼé	odd
dabiʼohígíí	odds
tʼáá áko	of course
asdiid	off
akʼizhdiitʼaah	offensive
bóʼoolkąąh	offer
naaltsoos binidaʼanish góneʼ	office
ilį́įgo alyaa	official
tʼáá ałhxą́ą́h	often
Ǫ́ǫ	Oh
daʼ tʼáá aníí	oh really
akʼah	oil
chidí bikʼah	oil
tʼáá áko	ok
bíighah	ok
bíighah, awééʼ	ok dear
bíighah, shichʼooníh	ok honey
tʼáá áko, shichʼooníh	ok my love
tʼáá áko	okay
bíighah	okay
bíighah, awééʼ	okay baby
tʼáá áko, awééʼ	okay dear
tʼáá áko, shichʼooníh	okay honey
tʼáá áko, shichʼooníh	okay my love
sání	old
tʼááłáʼíhídi	once
tʼááłáʼí tʼáá eii  as in the one	one
saad tʼááłáʼígo doo bíighah da	one language is never enough
tłʼohchin	onion
béésh łichíiʼii nitsékeesí biyiʼjįʼ	online
téíyá	only
ąąʼátʼé	open
naanish biʼoonishígíí	operation
íizhnizingo bee haʼoodzíʼígíí	opinion
bee adahaztʼiʼígíí	opportunities
bikʼéhalzhishgo	opportunity
bił hooʼaahgo	opportunity
bidinínáh átʼéhígíí	opposite
hajoobaʼ íizhnizin	optimistic
łahgo átʼéego baa nááhonítʼiʼgo	option
bíighahdą́ą́ʼ	optional
doodago	or
łitsxo	orange
bikáʼéʼalnééh	order
tʼáá ákotʼéhígíí	ordinary
ałąąh nehaʼníiłgo hashtʼeelnééh	organization
ałkééʼ nehaʼníiłgo hashtʼeelnééh	organization
naanish binaʼniltin	orientation
